Segment,F1,F2,F3,F4,F5,F6
S1,5.0802393,6.3778667,6.6901817,9.911815,8.101748,7.2205887
S2,5.4351687,6.5182447,6.9441385,9.8970175,8.322474,7.3913336
S3,5.8523474,6.674594,7.2619743,9.897309,8.543412,7.5922766
S4,7.0838923,7.2438035,8.138947,9.778391,9.362946,8.277725
S5,7.9283433,7.491154,8.850777,9.830067,9.620914,8.610918
S6,9.683462,8.401239,10.123448,9.578965,11.035809,9.620638
S7,11.0696335,8.873557,11.214626,9.692089,11.492412,10.36428
S8,11.974223,9.120594,11.888131,9.674488,12.135607,10.619609
S9,11.530017,9.026602,11.5459385,9.746188,11.913301,10.431141
S10,10.794578,8.843143,10.969772,9.837571,11.463206,10.146403
S11,9.944518,8.4977865,10.299093,9.925632,10.910522,9.71234
S12,9.009226,8.135696,9.566913,9.953987,10.394011,9.222698
S13,8.093594,7.7842965,8.8346,9.989694,9.8531275,8.788522
S14,7.2800536,7.4174447,8.203716,10.009212,9.35081,8.360736
S15,6.597941,7.106517,7.677348,10.001063,8.970135,7.9904413
S16,6.014872,6.8319073,7.273479,9.980918,8.620784,7.675126
S17,5.4876013,6.586201,6.9105678,9.955273,8.311966,7.392135
S18,5.110887,6.418118,6.6802735,9.928494,8.141231,7.1980305
S19,4.83652,6.2993026,6.5114255,9.931212,7.9635143,7.0770965
S20,4.677172,6.2280755,6.40311,9.917886,7.8888445,6.9918375
S21,4.5799756,6.1857877,6.332695,9.919279,7.824995,6.9580555
S22,4.5932117,6.187242,6.3468504,9.916975,7.8366423,6.96514
S23,4.6633596,6.209743,6.4006658,9.916501,7.870211,6.9995227
S24,4.717452,6.2244735,6.448044,9.91469,7.901466,7.016143
S25,4.8101716,6.2638383,6.5120907,9.907878,7.9669504,7.060486
S26,5.0386925,6.3577127,6.6690145,9.903593,8.097351,7.1863303
S27,5.344955,6.470295,6.900494,9.902991,8.259146,7.33571
S28,5.575916,6.5488405,7.087723,9.897813,8.390511,7.4208145
S29,5.7308526,6.6199503,7.198224,9.889394,8.50258,7.4899178
S30,5.9009213,6.6985264,7.314151,9.8956785,8.597654,7.590933
S31,5.9101467,6.690099,7.3377132,9.913468,8.576888,7.579836
S32,6.105296,6.8070884,7.444662,9.878639,8.759922,7.6862926
S33,6.2120695,6.8474665,7.5409284,9.911208,8.741032,7.7691708
S34,6.3020797,6.8640604,7.603935,9.893552,8.837673,7.7593794
S35,6.0785475,6.777701,7.445009,9.91652,8.6925745,7.6577907
S36,5.7640285,6.6634336,7.2094097,9.919992,8.530459,7.506009
S37,5.4741325,6.5647683,6.976518,9.928456,8.36113,7.391499
S38,5.321603,6.5059175,6.8539977,9.933436,8.262759,7.333438
S39,5.1835375,6.440204,6.7644114,9.936718,8.169963,7.2565255
S40,5.1417522,6.423446,6.7252584,9.920004,8.167559,7.2273498
S41,5.174885,6.4314885,6.7493186,9.922706,8.169691,7.257352
S42,5.276762,6.461173,6.8394995,9.912109,8.229086,7.292002
S43,5.4426045,6.5190654,6.958553,9.900359,8.328401,7.3698163
S44,5.494591,6.5242157,7.026686,9.9070015,8.338899,7.381678
S45,5.4597063,6.508556,7.0057755,9.9010935,8.344956,7.348062
S46,5.5286894,6.5608373,7.0294495,9.90043,8.399168,7.4150305
S47,6.0552044,6.7927246,7.3844185,9.886466,8.7018,7.724059
S48,6.3971615,6.881245,7.6876154,9.90585,8.807098,7.8391857
S49,6.862853,7.126343,8.028321,9.80946,9.2300625,8.043621
S50,7.3502946,7.335676,8.389423,9.845933,9.427979,8.360039
S51,8.010378,7.579414,8.874701,9.816066,9.824204,8.647925
S52,8.466426,7.756652,9.211229,9.80807,10.091179,8.852205
S53,8.9220295,7.9763994,9.53044,9.787368,10.395222,9.102109
S54,9.939485,8.462256,10.235469,9.737403,11.040681,9.728012
S55,11.143515,8.900716,11.153596,9.752602,11.652049,10.334435
S56,12.120444,9.233658,11.865421,9.718401,12.276697,10.720563
S57,11.912604,9.092176,11.750153,9.804827,12.047471,10.49863
S58,10.914229,8.796058,11.031578,9.835463,11.54387,10.027899
S59,9.581554,8.345464,10.031479,9.93966,10.709893,9.473225
S60,8.514819,7.9369655,9.187863,9.981938,10.082518,8.963956
S61,7.612505,7.5630627,8.474769,10.006581,9.551198,8.520191
S62,6.9057336,7.2561407,7.924246,10.010871,9.142794,8.15809
S63,6.41737,7.0314775,7.550793,10.000334,8.860402,7.9030123
S64,5.9892335,6.814759,7.259778,9.981763,8.59368,7.660954
S65,5.7134113,6.6734734,7.0717726,9.93579,8.465766,7.500644
S66,5.7481856,6.664547,7.11816,9.904113,8.49441,7.535079
S67,6.1013002,6.7791166,7.4149847,9.889422,8.6925335,7.7108984
S68,6.5680532,6.939172,7.8011565,9.87317,8.963391,7.9067903
S69,6.954388,7.0977597,8.099559,9.857008,9.199894,8.078869
S70,7.4321885,7.3352933,8.453322,9.827412,9.51649,8.349354
S71,7.726028,7.4280543,8.68445,9.864956,9.617299,8.478912
S72,7.955246,7.554647,8.848755,9.830455,9.825219,8.570206
S73,7.848585,7.508634,8.7605915,9.881381,9.709604,8.528102
S74,7.6687093,7.4628177,8.609627,9.884405,9.649897,8.432889
S75,7.7280316,7.5487785,8.616788,9.8772745,9.71135,8.534057
S76,7.5954666,7.432962,8.531557,9.928631,9.512896,8.423222
S77,7.2308617,7.2704816,8.267421,9.893089,9.384704,8.179596
S78,7.07123,7.2939034,8.099364,9.8816185,9.334053,8.217872
S79,7.3789015,7.3992414,8.335369,9.900441,9.4214115,8.415815
S80,7.7090845,7.4586577,8.608,9.873199,9.600499,8.484245
S81,7.9182625,7.5609365,8.75934,9.830479,9.786623,8.578734
S82,7.76741,7.4559455,8.683371,9.8792095,9.623845,8.479973
S83,7.4747944,7.355,8.462316,9.8702345,9.523931,8.315258
S84,7.077743,7.227219,8.148713,9.906904,9.281328,8.174891
S85,6.652417,7.0353847,7.8296204,9.9390335,9.000146,7.958478
S86,6.412681,6.9762216,7.6259894,9.9164505,8.920288,7.8593636
S87,6.276983,6.9119673,7.53054,9.947626,8.787838,7.8180943
S88,6.29467,6.91232,7.5431623,9.924119,8.824732,7.794614
S89,6.302705,6.8954916,7.54883,9.918923,8.815841,7.7924867
S90,6.208394,6.8275676,7.509569,9.916803,8.753518,7.7183924
S91,6.203369,6.8385887,7.50205,9.889568,8.79449,7.718423
S92,6.254535,6.8600807,7.5490494,9.905381,8.787864,7.77798
S93,6.2563405,6.8364987,7.574389,9.909281,8.787627,7.7433085
S94,6.125124,6.7948704,7.473681,9.906855,8.738925,7.6734495
S95,6.0570874,6.7872667,7.400458,9.914675,8.701461,7.6730704
S96,6.1126213,6.8107357,7.4389453,9.92183,8.71631,7.7134943
S97,5.9867144,6.7291303,7.371722,9.932042,8.61324,7.616864
S98,5.66188,6.5994773,7.1396513,9.918162,8.466819,7.4361334
S99,5.527556,6.5835776,6.9941797,9.914841,8.405001,7.4293113
S100,5.643462,6.6332316,7.087198,9.924941,8.419381,7.5229416
S101,5.874251,6.70469,7.271881,9.90363,8.565788,7.594721
S102,6.0279336,6.754428,7.391511,9.894916,8.656424,7.6529202
S103,5.878102,6.6589317,7.317261,9.910753,8.538274,7.547206
S104,5.8912363,6.7164617,7.2815003,9.872552,8.638326,7.5735955
S105,5.9536915,6.7547503,7.3337774,9.9059515,8.582172,7.665848
S106,6.132463,6.8083286,7.4637885,9.881206,8.725865,7.703774
S107,6.1165094,6.795001,7.458283,9.898151,8.703283,7.6957474
S108,5.8858504,6.6818867,7.308023,9.915161,8.56461,7.55652
S109,5.5244713,6.566349,7.0279946,9.914612,8.395543,7.390815
S110,5.102392,6.4165497,6.711826,9.933707,8.116568,7.2211947
S111,4.7419004,6.270382,6.4440627,9.931631,7.9209113,7.0426793
S112,4.484376,6.172258,6.240105,9.932235,7.769645,6.9331026
S113,4.3017178,6.0925856,6.111205,9.935476,7.6487684,6.847158
S114,4.2843704,6.0840535,6.0947814,9.920551,7.660967,6.8294764
S115,4.716561,6.2532277,6.372031,9.898768,7.9131603,7.0713377
S116,4.9750037,6.3159823,6.6415143,9.9048195,7.9739313,7.157361
S117,5.02197,6.298852,6.70015,9.861968,8.072739,7.09981
S118,4.712552,6.208105,6.4662085,9.88803,7.8874564,7.003729
S119,4.5910306,6.1871085,6.3523855,9.899509,7.828773,6.9796124
S120,4.462749,6.142257,6.2669225,9.917469,7.7184534,6.931873
S121,4.554351,6.1903687,6.301192,9.898913,7.822104,6.9692388
S122,4.512105,6.170836,6.2956624,9.920022,7.7385244,6.9574757
S123,4.836921,6.312874,6.4838595,9.873655,8.014514,7.0994816
S124,5.2612624,6.4781694,6.8073545,9.891673,8.18091,7.3486757
S125,5.7127137,6.619332,7.159827,9.863356,8.460941,7.4984756
S126,6.1977606,6.8143954,7.508221,9.838653,8.77552,7.739449
S127,6.903621,7.1125016,8.048721,9.827276,9.181517,8.125007
S128,7.5608106,7.341211,8.55587,9.8346615,9.520574,8.409591
S129,7.583609,7.2836003,8.604937,9.871476,9.457745,8.3225355
S130,7.095621,7.179056,8.219342,9.85384,9.313726,8.117658
S131,6.600552,7.0319576,7.806634,9.9197,8.9608965,7.9822154
S132,6.2904177,6.9163404,7.55123,9.938062,8.789956,7.8315544
S133,5.990555,6.7994494,7.32579,9.946129,8.62272,7.674751
S134,5.768282,6.7061305,7.145053,9.94254,8.5032425,7.5582514
S135,5.7058268,6.6726146,7.0940647,9.935376,8.470875,7.529554
S136,5.7175837,6.656903,7.1214943,9.929733,8.463983,7.5225015
S137,5.5105195,6.527386,7.012954,9.924975,8.324126,7.3735557
S138,5.1000156,6.3584948,6.7304454,9.9053545,8.130397,7.159035
S139,4.67236,6.213355,6.4153996,9.917951,7.8851213,6.9983063
S140,4.4640265,6.148511,6.251862,9.92888,7.7600203,6.923481
S141,4.343912,6.101483,6.16104,9.933015,7.6696568,6.869124
S142,4.272704,6.0657616,6.1067944,9.92408,7.6411843,6.819764
S143,4.415809,6.1263814,6.1895027,9.912372,7.735827,6.9035716
S144,4.6998224,6.2288384,6.411266,9.910357,7.8687334,7.048586
S145,4.9350476,6.2966585,6.6089225,9.897561,8.0076275,7.1214833
S146,5.1081047,6.366205,6.739814,9.880766,8.132668,7.19316
S147,5.3792367,6.4808006,6.928203,9.881912,8.291595,7.3482676
S148,5.6388474,6.5783286,7.138484,9.894887,8.420633,7.4723353
S149,5.791363,6.6334977,7.2543836,9.894291,8.524555,7.5179024
S150,5.9560704,6.724449,7.3500805,9.888474,8.645289,7.614893
S151,5.9859614,6.738527,7.389325,9.913313,8.6186075,7.6393466
S152,5.8032117,6.641019,7.266105,9.916817,8.518426,7.5069046
S153,5.3485017,6.4860353,6.921483,9.922642,8.283987,7.3007174
S154,4.9805303,6.3680825,6.616518,9.933998,8.066264,7.1651998
S155,4.686541,6.2534776,6.403435,9.942473,7.867543,7.035594
S156,4.5057263,6.1784067,6.2618136,9.93102,7.786001,6.934902
S157,4.450506,6.152971,6.211067,9.927569,7.7421093,6.9200554
S158,4.513183,6.1612244,6.2632756,9.919525,7.770194,6.9430637
S159,4.5894566,6.1755934,6.337866,9.911721,7.817861,6.962055
S160,4.7539654,6.238528,6.4612308,9.895766,7.92738,7.0376906
S161,4.937761,6.303224,6.6082106,9.897072,8.015755,7.1333714
S162,5.194782,6.403882,6.802942,9.886987,8.1844635,7.2490993
S163,5.4609456,6.510993,7.000912,9.89335,8.331169,7.383793
S164,5.6867113,6.6010847,7.1711907,9.893685,8.463655,7.482855
S165,5.776966,6.6357975,7.2395124,9.900147,8.517032,7.514859
S166,5.6749897,6.5964837,7.169613,9.911929,8.460618,7.4572806
S167,5.8580184,6.7130203,7.249791,9.889096,8.616051,7.5855165
S168,5.907339,6.722906,7.3227205,9.9207945,8.543678,7.6229396
S169,5.868565,6.6816635,7.2952538,9.889244,8.591053,7.53511
S170,5.5697618,6.5879955,7.063796,9.912674,8.406437,7.4283085
S171,5.8737016,6.759163,7.2283826,9.878336,8.633597,7.638531
S172,6.1808615,6.837626,7.501828,9.909814,8.676725,7.7853336
S173,6.408307,6.889472,7.67918,9.862132,8.890801,7.7997823
S174,6.218115,6.8238606,7.5461845,9.890299,8.758971,7.7319536
S175,6.0340695,6.767738,7.4029946,9.895452,8.6796255,7.651034
S176,5.9693737,6.758958,7.331538,9.9087925,8.640444,7.6524525
S177,5.8755226,6.715876,7.2824044,9.923055,8.558012,7.6014256
S178,5.7206945,6.639332,7.166836,9.916919,8.488472,7.497986
S179,5.4611783,6.545008,6.98097,9.927964,8.345559,7.3797708
S180,5.235849,6.464568,6.803526,9.93591,8.21482,7.279565
S181,5.0465784,6.3908286,6.663254,9.933698,8.102056,7.186353
S182,4.8854575,6.3160734,6.5427337,9.930187,8.001265,7.105057
S183,4.8169994,6.285253,6.5022836,9.922219,7.9734483,7.0692134
S184,4.8699846,6.3014,6.537037,9.920532,7.995408,7.1040044
S185,5.050179,6.3664036,6.671476,9.911926,8.100095,7.189726
S186,5.301286,6.457237,6.8620305,9.903553,8.239564,7.3072314
S187,5.6201315,6.576926,7.099818,9.8909025,8.427732,7.456453
S188,5.809583,6.636818,7.2609234,9.896457,8.518275,7.530588
S189,5.9148026,6.6868844,7.336978,9.887912,8.610412,7.5679584
S190,5.9758053,6.728478,7.3706555,9.899763,8.641049,7.6228275
S191,6.2186384,6.8397245,7.5280447,9.895661,8.790094,7.759487
S192,6.429126,6.9148316,7.69476,9.90827,8.88068,7.859226
S193,6.824982,7.1083302,7.9837418,9.862657,9.170529,8.056126
S194,7.3137937,7.3057313,8.347225,9.866644,9.419187,8.32387
S195,8.078985,7.626191,8.907209,9.816093,9.901228,8.707447
S196,8.757099,7.866401,9.418007,9.813874,10.252143,9.021717
S197,9.249578,8.061814,9.789662,9.790111,10.563732,9.222876
S198,9.919761,8.419234,10.250701,9.745416,11.035987,9.645055
S199,10.655287,8.694832,10.802711,9.776955,11.375295,10.031871
S200,11.25271,8.899042,11.226827,9.761051,11.758214,10.252197
S201,11.156597,8.845784,11.169455,9.805396,11.677708,10.155347
S202,10.568258,8.659907,10.74216,9.854066,11.343504,9.863729
S203,9.718761,8.363511,10.102546,9.914368,10.828692,9.471382
S204,8.852794,8.035109,9.436917,9.951672,10.312932,9.056767
S205,8.029314,7.7017922,8.797446,9.976568,9.823819,8.660751
S206,7.3236403,7.404513,8.252148,9.984224,9.410261,8.315169
S207,6.763284,7.1571636,7.8324533,9.98455,9.082046,8.036157
S208,6.333784,6.952577,7.521173,9.972746,8.823679,7.8104177
S209,5.9670672,6.7785378,7.27109,9.953408,8.6109915,7.6198797
S210,5.7061496,6.655646,7.108824,9.929747,8.4771385,7.4861026
S211,5.5107107,6.5620775,6.994267,9.924866,8.36258,7.392363
S212,5.4203115,6.521898,6.9435687,9.914415,8.325862,7.3459134
S213,5.359155,6.4935036,6.9086,9.918472,8.28196,7.3228903
S214,5.292419,6.463577,6.868835,9.918615,8.246883,7.2847934
S215,5.246134,6.4499326,6.8303113,9.916471,8.227204,7.266296
S216,5.2442284,6.450653,6.8244004,9.9200945,8.21961,7.2750745
S217,5.2475457,6.447883,6.8310695,9.921359,8.216529,7.2725964
S218,5.20414,6.427955,6.80481,9.920342,8.195285,7.2429442
S219,5.191445,6.428137,6.7869196,9.915622,8.196676,7.24161
S220,5.263886,6.4575663,6.834264,9.9164715,8.230571,7.2893214
S221,5.286608,6.4557714,6.8666835,9.920781,8.228332,7.28937
S222,5.148123,6.3840895,6.782044,9.919034,8.153101,7.1970277
S223,4.9242415,6.312392,6.6071215,9.916687,8.045115,7.100298
S224,4.802721,6.278966,6.498816,9.925036,7.9623356,7.0745306
S225,4.821107,6.284878,6.506527,9.925924,7.962419,7.090715
S226,4.813725,6.270869,6.5135245,9.925782,7.9495306,7.0717516
S227,4.659855,6.192342,6.419226,9.924085,7.862568,6.9746566
S228,4.607153,6.193957,6.3539653,9.908977,7.867861,6.9650764
S229,4.4718795,6.143792,6.2805457,9.925467,7.730042,6.9192495
S230,4.40445,6.1135077,6.2228656,9.9014435,7.7423778,6.86011
S231,4.390807,6.1160655,6.198178,9.908945,7.7116923,6.888692
S232,4.373548,6.095381,6.2044,9.915202,7.684667,6.86907
S233,4.2713046,6.045594,6.1390467,9.91132,7.645854,6.7991204
S234,4.2641654,6.0596175,6.1066937,9.906323,7.6582966,6.8156786
S235,4.2170987,6.039266,6.093886,9.917281,7.5858808,6.802227
S236,4.223168,6.035684,6.092063,9.899041,7.63005,6.7815475
S237,4.2602572,6.055643,6.1085706,9.908018,7.635751,6.8228917
S238,4.4751124,6.138723,6.258121,9.901833,7.7653685,6.9279733
S239,4.648477,6.195463,6.403406,9.9063225,7.842552,7.0029736
S240,4.68154,6.190125,6.4480877,9.902337,7.8750267,6.985046
S241,4.514005,6.129307,6.329587,9.906524,7.787893,6.904009
S242,4.305122,6.05974,6.1651897,9.912526,7.6689944,6.82029
S243,4.1294594,5.9996624,6.0258284,9.920289,7.5590224,6.751793
S244,4.0302367,5.967026,5.940029,9.921212,7.5017066,6.708985
S245,3.9950485,5.951437,5.905799,9.922597,7.4735513,6.695242
S246,3.9662993,5.931275,5.891912,9.921618,7.45235,6.670959
S247,3.9694734,5.9316425,5.889354,9.914169,7.465095,6.66591
S248,3.9326174,5.9117723,5.873925,9.914048,7.427805,6.6468086
S249,3.9247289,5.904816,5.8667502,9.904756,7.4388247,6.6361403
S250,3.9533603,5.9167595,5.887759,9.908738,7.448649,6.6614966
S251,4.0412865,5.949307,5.9531074,9.9099655,7.49923,6.70345
S252,4.1744304,6.0020456,6.049166,9.908806,7.5802836,6.766835
S253,4.3386474,6.0659447,6.1695395,9.908933,7.6739726,6.8460627
S254,4.5011535,6.1280293,6.2935925,9.908,7.769361,6.918395
S255,4.669565,6.1957903,6.4172344,9.9041,7.8736515,6.9961185
S256,4.8292274,6.2594666,6.536392,9.905672,7.9644513,7.0739307
S257,4.9541583,6.3096814,6.633382,9.906187,8.038418,7.1287704
S258,5.0285354,6.342837,6.6879973,9.907362,8.086686,7.1614656
S259,5.0254893,6.3454437,6.688611,9.914589,8.085129,7.159002
S260,4.944466,6.316457,6.6296763,9.919532,8.042219,7.1173987
S261,4.8213944,6.2750072,6.5329523,9.923182,7.975576,7.0623097
S262,4.682804,6.22502,6.4252644,9.927788,7.889685,7.001905
S263,4.556537,6.1767645,6.326661,9.927724,7.8164835,6.942126
S264,4.4099226,6.115067,6.2197957,9.9293,7.723514,6.8713937
S265,4.3014207,6.0736394,6.134041,9.923537,7.6686015,6.818731
S266,4.2357163,6.046216,6.08323,9.924489,7.620297,6.794869
S267,4.2582073,6.050757,6.0976906,9.918119,7.6365113,6.8046384
S268,4.3438544,6.078229,6.163206,9.9148655,7.67982,6.8476987
S269,4.4512157,6.1129723,6.2503843,9.911138,7.7408166,6.892711
S270,4.4645705,6.108507,6.277967,9.913137,7.7449517,6.8877997
S271,4.3721943,6.07101,6.2197013,9.912508,7.7032733,6.8364697
S272,4.2469473,6.0334654,6.119535,9.91475,7.634064,6.789076
S273,4.1213727,5.9900923,6.0227394,9.920473,7.549664,6.73997
S274,3.9852507,5.9347124,5.921517,9.921865,7.4699187,6.6732426
S275,3.867774,5.8918443,5.829006,9.91908,7.406326,6.620883
S276,3.7464123,5.8414097,5.7444606,9.917793,7.3253293,6.5675273
S277,3.6242375,5.786139,5.659811,9.9105625,7.261207,6.5045223
S278,3.532207,5.7501144,5.588729,9.904294,7.209724,6.4667106
S279,3.517002,5.7454395,5.5694604,9.904462,7.1970067,6.465816
S280,3.5873985,5.7699265,5.6185217,9.904664,7.233384,6.4995255
S281,3.7568831,5.8334613,5.740287,9.901302,7.3355484,6.578206
S282,3.931407,5.8968067,5.878879,9.902763,7.427505,6.656501
S283,4.068057,5.9461,5.9874463,9.899485,7.516987,6.7073574
S284,4.167841,5.98978,6.060739,9.90137,7.5804157,6.755236
S285,4.269887,6.0350494,6.13324,9.905057,7.639623,6.808416
S286,4.4942403,6.131277,6.282384,9.901235,7.7788577,6.9262357
S287,5.0399337,6.3542547,6.655266,9.8907385,8.096915,7.215317
S288,5.734003,6.6164937,7.18268,9.888382,8.465623,7.550922
S289,6.250891,6.7847123,7.589079,9.878435,8.755091,7.735947
S290,6.648035,6.979516,7.878269,9.842601,9.049607,7.9255724
S291,6.751457,7.013944,7.968277,9.884563,9.045906,7.9854674
S292,6.8104625,7.0697885,7.9999666,9.866413,9.148144,8.001462
S293,6.851172,7.1158423,8.006006,9.891446,9.155544,8.073035
S294,7.022125,7.194514,8.123056,9.897283,9.25234,8.165434
S295,7.113859,7.213697,8.186848,9.90731,9.28778,8.184246
S296,6.9867287,7.1484017,8.090838,9.915441,9.222053,8.0895815
S297,6.6468835,7.017455,7.831737,9.926288,9.033093,7.9215875
S298,6.08613,6.788473,7.430187,9.94466,8.687116,7.654885
S299,5.5086517,6.57449,6.9998126,9.940801,8.386534,7.387276
S300,4.986486,6.3811417,6.6147785,9.949983,8.058616,7.1701365
S301,4.6064444,6.2264,6.3244686,9.946563,7.837861,6.9905534
S302,4.3212457,6.1081147,6.1169815,9.943309,7.667035,6.853392
S303,4.1000447,6.0085936,5.9585686,9.935559,7.5293503,6.738932
S304,3.9370317,5.932028,5.844457,9.922368,7.438059,6.6514773
S305,3.9783037,5.94404,5.867184,9.9082775,7.4710913,6.6831512
S306,4.142268,5.996876,6.010623,9.905927,7.5420294,6.768484
S307,4.5108376,6.1350694,6.281192,9.882498,7.7815247,6.9345865
S308,4.8020616,6.2398505,6.525606,9.891369,7.920566,7.0737004
S309,5.814841,6.6877446,7.2308254,9.799272,8.601773,7.602106
S310,7.307694,7.281516,8.33706,9.7944145,9.361994,8.422106
S311,8.696934,7.7515016,9.410323,9.770274,10.140485,8.994879
S312,9.560262,8.107923,10.041114,9.729547,10.744466,9.366301
S313,9.553733,8.100552,10.064994,9.807676,10.668423,9.335772
S314,9.399766,8.169104,9.919329,9.800652,10.690865,9.311204
S315,8.924481,7.996219,9.571948,9.895807,10.301233,9.110578
S316,8.342704,7.757201,9.1137705,9.91474,9.991948,8.779865
S317,7.558939,7.483744,8.483846,9.95101,9.55122,8.432598
S318,6.933173,7.239755,7.971938,9.98195,9.170597,8.152203
S319,6.3067145,6.953021,7.511862,9.99516,8.781659,7.8170614
S320,6.4657536,7.0775657,7.5926204,9.884768,8.976718,7.9395194
S321,6.558717,7.010142,7.7326474,9.897709,8.825772,7.9554443
S322,6.6539025,7.0381765,7.8519473,9.793788,9.081735,7.911966
S323,6.400481,6.9344125,7.669516,9.859998,8.845128,7.863651
S324,6.154203,6.8147717,7.508688,9.865322,8.731595,7.7124667
S325,5.712056,6.6490936,7.1763735,9.892075,8.47848,7.520411
S326,5.283998,6.4921713,6.8554797,9.914166,8.2388315,7.3313203
S327,5.089316,6.4323487,6.6763606,9.923095,8.133452,7.2617955
S328,5.079034,6.4253283,6.659018,9.931483,8.099825,7.2681847
S329,5.1597195,6.4388304,6.719437,9.925544,8.15266,7.278785
S330,5.148934,6.417677,6.736672,9.916042,8.14413,7.2412987
S331,5.1296926,6.397749,6.7232323,9.903118,8.149642,7.2123184
S332,5.23612,6.4410105,6.8158407,9.898068,8.216912,7.2748103
S333,5.5515985,6.5600424,7.0374484,9.893913,8.387344,7.4414306
S334,6.0481,6.7491136,7.4080462,9.881225,8.675667,7.681113
S335,6.610785,6.967591,7.8362546,9.869588,8.9964695,7.949356
S336,7.0999494,7.160788,8.21127,9.857689,9.2815275,8.166625
S337,7.432431,7.3080907,8.461911,9.849339,9.487725,8.317254
S338,7.690317,7.4399557,8.647848,9.84559,9.652791,8.459255
S339,8.039906,7.6085653,8.891862,9.840949,9.866883,8.664312
S340,8.5803995,7.845639,9.273843,9.826803,10.189854,8.961268
S341,8.665127,7.8133097,9.389652,9.8746395,10.1363945,8.914922
S342,9.213712,8.199735,9.728433,9.737719,10.687792,9.288221
S343,9.665927,8.338693,10.08478,9.833189,10.714582,9.570947
S344,9.913358,8.357329,10.304692,9.816623,10.904058,9.558452
S345,9.379858,8.15737,9.8993225,9.850145,10.611852,9.284647
S346,8.613119,7.882693,9.315262,9.895788,10.167789,8.935711
S347,7.77554,7.542877,8.667212,9.945517,9.657123,8.537559
S348,6.9496465,7.2160373,8.02594,9.966903,9.1888275,8.139663
S349,6.261303,6.9418974,7.481695,9.980061,8.781908,7.8197274
S350,5.74063,6.722801,7.093652,9.977135,8.467238,7.5682287
S351,5.4323115,6.5823994,6.864628,9.964763,8.303782,7.406551
S352,5.7259364,6.7075186,7.068216,9.90923,8.508325,7.5754576
S353,6.7932553,7.1156387,7.861798,9.846327,9.090298,8.153405
S354,7.845155,7.4202137,8.742941,9.821381,9.616336,8.564897
S355,8.475713,7.646592,9.266535,9.7763195,10.071223,8.787038
S356,8.508043,7.702205,9.29295,9.805208,10.094313,8.822276
S357,8.361551,7.698351,9.168225,9.8402,10.019434,8.780837
S358,8.0909,7.621392,8.950026,9.884248,9.84813,8.66627
S359,7.7253046,7.49551,8.647417,9.918148,9.640822,8.492005
S360,7.191362,7.2734494,8.223813,9.956168,9.315043,8.224405
S361,6.6579447,7.090028,7.798444,9.962995,9.039539,7.9768157
S362,6.1396317,6.8782406,7.4023094,9.982485,8.703529,7.7339416
S363,5.63907,6.6600523,7.0398164,9.964965,8.424387,7.4669285
S364,5.2359796,6.485432,6.7472267,9.947466,8.203535,7.275197
S365,4.9970613,6.3751583,6.5963383,9.939464,8.062841,7.1658196
S366,4.8754206,6.3098617,6.527885,9.930773,7.9902596,7.09842
S367,4.7829022,6.261948,6.477885,9.9218025,7.941875,7.0434327
S368,4.682217,6.214969,6.417075,9.918354,7.883177,6.9923277
S369,4.6010847,6.1820602,6.363294,9.915428,7.8414884,6.954476
S370,4.57289,6.172811,6.339966,9.917351,7.8248343,6.9494724
S371,4.549472,6.1613955,6.3291864,9.9213915,7.802725,6.9380255
S372,4.559138,6.1671433,6.330237,9.916906,7.8189893,6.939923
S373,4.6717863,6.2149563,6.4022126,9.915325,7.88319,7.007092
S374,4.953435,6.324002,6.6014757,9.909323,8.041892,7.1516175
S375,5.363663,6.4771953,6.905266,9.89908,8.272895,7.3471756
S376,5.7772613,6.629644,7.2241597,9.889206,8.50867,7.5321693
S377,6.1335506,6.7665405,7.494104,9.878715,8.721701,7.687984
S378,6.4268403,6.890502,7.7085586,9.876433,8.898575,7.831332
S379,6.4575815,6.8886657,7.747753,9.9000025,8.888723,7.8285384
S380,6.238459,6.807775,7.5841775,9.901562,8.7942705,7.7048607
S381,6.135548,6.82442,7.459379,9.90261,8.765572,7.717298
S382,6.2301855,6.8709316,7.5224204,9.927091,8.762481,7.805168
S383,6.440491,6.946195,7.6776695,9.908825,8.903138,7.8735924
S384,6.5747604,6.991824,7.7786264,9.904706,8.979652,7.924371
S385,6.714021,7.052819,7.8844547,9.891428,9.075311,7.9878473
S386,6.854971,7.104641,7.9930587,9.890382,9.149811,8.05822
S387,6.9425116,7.1265306,8.065273,9.889297,9.193635,8.0837965
S388,6.8716116,7.0867443,8.017565,9.895618,9.151478,8.031548
S389,6.635721,6.9955983,7.841352,9.910045,9.023567,7.9171586
S390,6.3799973,6.9193506,7.641349,9.922242,8.891254,7.814047
S391,6.099096,6.816598,7.433433,9.942001,8.710072,7.6907754
S392,5.800508,6.6958203,7.210366,9.942191,8.546242,7.536895
S393,5.478,6.568622,6.973301,9.9443,8.359777,7.384565
S394,5.1299224,6.422664,6.725192,9.947219,8.147395,7.215997
S395,4.7900023,6.2836885,6.4787474,9.940653,7.9574494,7.048809
S396,4.4781494,6.157632,6.2491183,9.937333,7.7658825,6.906958
S397,4.2647243,6.069107,6.09152,9.929748,7.642512,6.8081613
S398,4.1438494,6.0144315,6.0067134,9.92663,7.5652847,6.754499
