Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,9.427384,5.730189,0.736874,-0.090392,25.642078,0.51109
S2,10.020043,5.755675,-0.032902,-0.340982,27.642345,0.361166
S3,9.709956,5.87061,0.300129,-0.26021,26.120021,0.41327
S4,10.142396,6.295423,-0.391995,-0.335548,27.642321,0.534389
S5,9.87635,6.333944,-0.120814,-0.235253,26.250878,0.603696
S6,10.090386,6.756049,-0.638183,-0.207932,26.749384,0.806182
S7,9.731046,6.859062,-0.022373,-0.056125,25.474875,1.022777
S8,8.942483,6.992945,0.086517,-0.043894,23.132587,1.456461
S9,8.791409,6.919279,0.592827,0.039651,22.201376,1.754707
S10,8.483344,7.902434,0.84276,-2.25817,11.534208,2.636234
S11,9.545658,9.371161,0.842892,-9.675872,12.330306,3.378048
S12,9.217302,9.050541,0.686488,-14.779218,11.579635,3.489608
S13,8.683849,8.588286,0.764913,-22.148976,9.85299,3.425326
S14,8.404016,8.360021,0.231633,-136.247158,10.451301,3.429173
S15,7.180263,7.144623,0.310676,-99.186772,8.522656,2.928873
S16,6.307948,6.23509,-0.337609,-76.938264,8.271748,2.61189
S17,5.646454,5.605358,0.527131,-49.976105,6.787968,2.295921
S18,4.917692,4.763157,0.338885,-13.647055,6.378501,1.955051
S19,4.196372,3.999335,0.566084,-6.517409,5.754729,1.557377
S20,4.062074,3.825174,0.497815,-5.647902,5.609133,1.513564
S21,3.314073,3.135161,0.762642,-3.516537,4.971307,1.083132
S22,3.040314,2.749245,0.645662,-2.122484,5.038861,0.967815
S23,2.819974,2.417356,0.372623,-2.151702,5.144605,0.762008
S24,2.463352,2.174909,0.544541,-0.465624,4.438546,0.618456
S25,2.38322,2.048495,0.333208,-0.572582,4.552477,0.53158
S26,2.452176,2.081944,0.142002,-0.800981,5.40188,0.526093
S27,2.588499,2.023563,0.271631,-0.746956,5.700601,0.616318
S28,3.221903,2.688868,-0.610238,-1.476738,5.841365,0.837605
S29,3.093368,2.46474,-0.046771,-1.156324,5.428673,0.825883
S30,3.784618,3.245334,-0.609346,-2.315261,6.292269,1.048055
S31,4.081067,3.631635,-0.090577,-2.717808,6.571944,1.237784
S32,4.255619,3.85573,-0.53432,-3.058379,6.581575,1.291231
S33,4.219559,3.909462,0.029911,-3.132872,6.829262,1.301484
S34,4.608657,4.382842,-0.444622,-4.540379,6.534194,1.432961
S35,3.828814,3.605135,0.241383,-2.725463,5.814833,1.125463
S36,4.680609,4.45967,-0.013463,-12.547098,7.169677,1.433838
S37,4.605663,4.470989,0.462791,-12.642028,6.108321,1.445028
S38,4.398966,4.188363,0.394135,-8.042503,6.0668,1.376271
S39,3.830754,3.562442,0.44186,-0.848703,5.392483,1.042591
S40,3.543083,3.222147,0.20976,-0.697176,5.416204,0.848288
S41,3.362779,3.063251,0.516928,0.006081,5.371281,0.698385
S42,3.50903,3.074369,0.551677,0.152003,5.031331,0.667934
S43,3.780376,3.23371,0.292454,0.071693,6.5504,0.524114
S44,3.48637,3.059697,0.770814,0.233187,5.036364,0.474323
S45,4.361511,3.901007,0.281212,-0.051763,6.600158,0.542202
S46,6.240416,4.813622,0.676456,-0.08995,16.552272,0.517682
S47,7.474013,6.144911,0.344653,-0.301132,16.72013,0.61987
S48,7.940848,6.597974,0.552321,-0.621849,16.899052,0.554124
S49,8.232283,7.009512,0.206038,-0.787993,16.353009,0.57278
S50,8.101962,6.926829,0.107489,-0.599627,17.814398,0.609665
S51,7.645335,6.731734,-0.086847,-0.221117,14.682151,0.789668
S52,7.976844,6.964422,-0.300424,-0.30242,16.988057,0.817244
S53,7.59579,6.583617,0.095126,-0.047104,15.597077,0.978922
S54,7.840086,6.880878,-0.129968,-0.032081,15.495231,1.218135
S55,7.802388,7.098808,0.157236,0.009702,13.918578,1.340288
S56,7.954983,7.505254,0.345232,0.009639,14.11893,1.527909
S57,7.876538,7.66008,0.696004,-0.010481,11.868267,1.675096
S58,8.097308,7.668512,0.617035,-0.796134,11.568133,2.027082
S59,8.817004,8.010641,0.416129,-3.270342,11.950521,2.238403
S60,9.355843,8.680209,-0.429402,-12.037847,13.331612,2.370341
S61,7.099451,6.290478,-0.588311,-5.703907,9.651322,1.735247
S62,5.550001,4.602209,-0.400424,-1.664743,8.026298,1.297509
S63,4.280522,3.573596,0.086488,-0.696098,6.627492,0.932569
S64,3.320987,2.634391,0.463763,-0.079079,5.763634,0.632417
S65,2.77192,2.374673,0.484608,0.11475,4.699016,0.465199
S66,2.72498,2.392916,0.038363,-0.043953,6.008571,0.362121
S67,2.609911,2.285716,0.502559,0.109487,4.564814,0.3192
S68,3.500855,3.052662,-0.548809,-0.426781,6.32714,0.503628
S69,3.464232,2.978394,-0.186243,-0.157039,5.615819,0.586929
S70,3.605752,3.05042,-0.188597,-0.111733,6.149529,0.612946
S71,3.706437,3.06644,-0.177325,-0.098503,6.82786,0.64292
S72,3.46117,2.98464,0.282496,0.03876,6.522579,0.622515
S73,3.598888,2.988026,0.169036,0.00095,8.044141,0.661948
S74,4.31611,3.60213,-0.341738,-0.506135,8.363091,0.852938
S75,4.149452,3.634195,0.090387,-0.310295,7.182619,0.851031
S76,4.306906,3.74749,0.312602,-0.418062,6.923703,0.901439
S77,4.640707,4.318033,-0.258527,-0.442206,7.40734,1.124253
S78,4.295287,3.840753,0.217538,-0.237656,6.916739,1.023668
S79,4.996756,4.449752,-0.275543,-1.018805,8.424247,1.246327
S80,4.071489,3.652055,-0.414329,-0.525188,7.100227,0.876118
S81,3.456491,3.202167,-0.26956,-0.261272,5.352736,0.627322
S82,3.923321,3.368372,-0.014428,-1.021067,8.044705,0.837778
S83,4.258183,3.9362,0.258947,-2.552399,7.057647,0.917604
S84,4.254233,3.80746,0.316086,-2.893444,7.213939,0.918145
S85,4.928349,4.642079,0.023791,-9.037092,7.11584,1.118081
S86,4.218469,3.913703,0.122307,-6.310599,7.046785,0.968982
S87,3.757017,3.361074,-0.084705,-4.767207,5.962617,0.837526
S88,3.45999,3.006159,-0.056446,-3.680137,6.444287,0.768453
S89,3.242064,2.550165,-0.344449,-2.35137,7.49767,0.927277
S90,3.886391,3.111626,-0.296042,-2.522099,7.517443,1.428162
S91,3.699591,2.937518,-0.205645,-1.981343,7.021359,1.35084
S92,3.832411,3.083829,-0.112445,-2.262444,7.654148,1.416062
S93,3.886205,3.276188,0.060796,-2.362764,7.757839,1.415401
S94,3.431406,2.672517,0.059876,-1.67652,7.645867,1.246883
S95,4.439804,3.618934,-0.182448,-2.447899,8.641537,7.380104
S96,4.346364,3.542952,0.207595,-1.853509,8.444464,7.191179
S97,4.008158,3.102819,0.0798,-1.453021,8.078592,6.7958
S98,3.789792,2.761622,-0.019301,-1.160137,8.597527,7.03003
S99,3.765945,2.962373,0.499673,-1.135757,7.100779,6.06765
S100,4.832267,3.851241,-0.425245,-1.895626,9.019409,10.970428
S101,4.133524,3.105723,-0.001165,-1.226065,7.635698,8.736528
S102,4.324262,3.135726,-0.647755,-1.262315,7.938038,11.133193
S103,4.869127,3.816501,-0.282676,-1.693038,8.351229,12.563449
S104,5.378141,4.529818,-0.395484,-2.376383,7.886548,13.065805
S105,5.9018,5.107256,-0.245142,-3.200542,8.879256,15.095242
S106,6.156454,5.57886,-0.412719,-4.127756,8.399092,15.250228
S107,5.05829,4.295076,-0.062587,-1.363433,7.931187,9.039452
S108,5.850075,5.293762,-0.070996,-2.797366,8.56018,9.80195
S109,6.104142,5.697218,0.127557,-3.274568,7.871409,10.448435
S110,6.564936,6.244368,0.271288,-4.626851,8.724672,11.88102
S111,6.553613,6.406877,-0.147393,-4.836013,7.839735,11.862447
S112,5.825346,5.571911,0.214684,-3.611032,8.104187,10.875108
S113,5.558167,5.385067,-0.027402,-2.861606,7.849973,10.154027
S114,5.172569,4.875181,0.11339,-2.326577,7.742804,12.732491
S115,4.755523,4.319657,0.030596,-1.115508,7.724812,11.082909
S116,4.364658,3.896313,0.296835,-0.583864,6.860563,10.032708
S117,4.361953,3.573714,-0.19506,-0.578719,7.670312,10.162748
S118,3.782682,3.269423,0.703349,0.075477,5.725255,7.984694
S119,5.15494,4.430504,0.167914,-0.330909,8.621495,11.694166
S120,4.230885,3.661006,0.732731,0.121282,6.412225,8.511702
S121,4.745442,3.883792,0.232692,-0.023132,8.729552,9.621515
S122,4.173644,3.595509,0.466618,0.130469,7.780899,6.795777
S123,4.576603,3.788962,0.02728,-0.060392,8.029464,7.799617
S124,4.483673,3.846104,-0.168242,-0.138411,8.698412,4.346835
S125,4.648,4.15895,-0.244094,-0.184219,8.237226,5.668185
S126,4.536429,4.117982,-0.517454,-0.315372,8.014849,1.426647
S127,4.339014,3.771871,-0.21084,-0.245205,7.54801,1.373985
S128,4.646057,4.224939,-0.379514,-0.444265,8.849781,1.609897
S129,5.128702,4.675019,-0.135261,-0.547778,8.228627,3.416489
S130,5.971779,5.470893,0.080686,-1.244678,9.803069,8.322539
S131,7.061255,6.536249,0.409513,-4.99841,10.281279,11.43515
S132,7.674974,7.325761,-0.222732,-12.905343,12.026066,12.000344
S133,6.067483,5.74415,-0.087686,-9.736782,8.935935,9.988984
S134,5.968497,5.563093,-0.474149,-9.508419,8.604062,9.647603
S135,5.558908,5.133215,-0.072747,-6.757981,8.535997,9.350143
S136,5.236063,4.674853,-0.187546,-5.027152,8.107428,8.701181
S137,4.961737,4.418665,0.018988,-4.328622,7.373627,8.212269
S138,4.824262,4.311266,0.241657,-3.71807,7.219922,7.98434
S139,4.893598,4.410711,0.526013,-3.138127,7.269216,8.096635
S140,4.984937,4.50425,0.523282,-3.261267,7.412336,8.127174
S141,4.054756,3.575862,0.590801,-2.193842,6.549139,5.943773
S142,3.046565,2.493691,0.707217,-0.803765,5.651019,2.391215
S143,2.609263,2.261536,0.437304,-0.746409,4.194308,0.909908
S144,3.17243,2.200885,0.087241,-0.994422,7.64213,15.136302
S145,3.434613,2.619225,-0.192328,-1.136441,7.258366,15.485973
S146,3.614448,2.669262,-0.526044,-1.436034,7.012485,15.62142
S147,4.271047,3.259824,-0.437438,-1.898289,8.141169,20.074249
S148,4.781165,3.966754,-0.543212,-2.650072,7.999577,17.560209
S149,4.808989,4.04964,-0.458154,-2.701881,8.209216,20.325945
S150,5.026195,4.298274,-0.413634,-3.235408,8.150321,18.098297
S151,5.40199,4.928711,0.034277,-5.468366,8.079792,20.370135
S152,5.491676,5.100831,-0.118388,-5.735217,8.634883,19.385703
S153,5.238383,4.824011,0.306453,-4.963133,7.681058,19.55185
S154,5.5743,5.314632,0.487943,-7.641672,7.965599,19.356276
S155,5.127821,4.822671,0.651767,-5.012073,7.954857,19.944143
S156,4.019407,3.64959,0.545457,-3.140006,6.53203,4.645575
S157,3.10454,2.877015,0.784237,-2.244135,4.834435,2.21716
S158,3.242919,2.789079,0.333164,-2.568051,5.717613,2.448199
S159,2.436676,2.101906,0.549191,-0.346164,4.716781,0.664287
S160,2.825799,2.264189,-0.011027,-0.891933,5.267806,0.706362
S161,3.010672,2.467396,-0.021468,-1.059849,5.87196,0.803662
S162,3.175211,2.571001,0.049953,-1.154326,5.308949,0.890063
S163,3.625659,2.946014,-0.097434,-0.346421,5.776116,0.897111
S164,3.563889,3.073625,0.21255,-0.299018,5.626432,0.902221
S165,3.863097,3.395474,-0.184123,-0.530209,5.949193,0.994489
S166,3.808017,3.507032,0.406739,-0.441946,5.931911,1.039316
S167,4.491881,4.279262,-0.414347,-1.00398,6.370962,1.243634
S168,4.041467,3.898887,0.572969,-0.615099,5.395726,1.14351
S169,4.509732,4.295154,-0.493637,-0.993492,5.89893,1.24751
S170,3.92255,3.719976,0.159174,-0.530354,5.875447,1.04463
S171,4.969757,4.747985,-0.380941,-1.986961,6.473767,1.514252
S172,4.559143,4.269833,-0.166779,-1.491902,6.392454,1.393799
S173,4.532172,4.179894,-0.589211,-1.481736,6.768705,1.334607
S174,4.320787,3.846299,-0.379571,-1.233243,6.221834,1.289457
S175,5.149137,4.897687,-0.26178,-15.156689,7.237625,1.703081
S176,4.968549,4.761041,-0.080398,-15.156288,7.156404,1.648666
S177,4.928323,4.727882,-0.055208,-15.203312,7.115065,1.646402
S178,4.357395,4.107147,0.205209,-8.059528,5.870251,1.398601
S179,4.019351,3.675456,0.378751,-4.22927,6.407019,1.280818
S180,4.190338,3.939259,0.54386,-5.262454,5.575268,1.329879
S181,3.88643,3.592363,0.511582,-4.160626,5.597764,1.217018
S182,3.272077,3.002288,0.699443,-2.684983,4.939055,0.961243
S183,2.77483,2.427553,0.492309,-1.003214,4.583507,0.732127
S184,2.173993,1.920955,0.637013,-0.443586,3.556766,0.496076
S185,2.250035,1.936298,0.493259,0.076866,4.275069,0.439266
S186,2.109694,1.595677,0.672119,0.340191,4.195107,0.248485
S187,3.31184,2.535908,0.433443,0.073818,8.108964,0.302652
S188,3.465945,2.431575,0.680368,0.068694,8.518722,0.242191
S189,3.86224,3.245093,0.379886,-0.141382,8.188347,0.334055
S190,5.042458,3.72039,0.682854,-0.147625,12.44907,0.311083
S191,5.854024,4.792111,0.264598,-0.356967,12.430375,0.411463
S192,6.051865,4.942537,0.519147,-0.678992,12.591135,0.366643
S193,6.136541,5.095836,0.283028,-1.026416,12.04607,0.369977
S194,6.183246,4.883572,-0.016687,-1.169175,13.507571,0.33588
S195,5.969343,5.071727,-0.108741,-0.7134,11.193747,0.399596
S196,6.132433,5.188308,-0.275354,-0.615072,12.835379,0.448869
S197,5.834769,5.048916,-0.048543,-0.19262,11.658082,0.542134
S198,5.828593,5.197806,0.031541,-0.030411,11.632425,0.670098
S199,5.668061,5.065443,0.33281,0.040633,9.374297,0.820855
S200,5.930703,5.424562,0.432133,-0.034952,9.334565,0.956369
S201,6.102032,5.804133,0.71518,-0.077388,8.085575,1.108195
S202,6.674105,6.264624,0.773209,-1.161527,9.943333,1.376643
S203,7.539331,7.193604,0.811303,-4.71076,10.397611,1.658639
S204,8.011283,7.944544,0.749235,-25.438268,10.035482,1.832019
S205,7.517493,7.4955,0.783662,-72.280004,8.430756,1.798669
S206,6.882399,6.847918,0.276865,-170.10331,7.954684,1.750319
S207,6.075861,6.060151,0.463208,-257.796167,6.689231,1.579188
S208,5.335943,5.298402,-0.23383,-204.888044,6.486272,1.390292
S209,4.746591,4.701116,-0.118078,-155.72327,6.156893,1.24028
S210,4.402064,4.31682,-0.439151,-97.115902,5.915498,1.170447
S211,4.07956,4.001062,-0.050938,-79.417719,5.627093,1.075307
S212,3.913223,3.811658,-0.017963,-45.441266,5.121943,1.018891
S213,3.838518,3.714541,-0.074608,-37.292812,5.587567,1.021359
S214,4.22226,3.995924,-0.216224,-16.117841,7.598003,1.748895
S215,4.255672,3.993754,-0.221859,-13.467308,6.989032,1.837455
S216,4.353406,4.095414,-0.279063,-15.02808,7.027297,1.886372
S217,4.305947,4.037994,-0.300323,-14.680523,7.666198,1.916973
S218,4.277241,3.978681,-0.347896,-13.511211,6.499091,1.83503
S219,4.694039,4.302785,-0.413592,-9.9772,8.156237,204.56824
S220,4.673532,4.365383,-0.090984,-9.926956,7.685756,192.791143
S221,5.087388,4.639864,-0.447681,-8.824079,8.289453,198.453719
S222,5.044551,4.603368,-0.390047,-8.679764,8.335975,213.946291
S223,5.047717,4.760914,0.099037,-9.412562,7.808736,170.754743
S224,5.626081,5.32221,-0.41447,-15.536435,8.592651,216.870674
S225,5.609449,5.405079,0.178426,-14.281753,7.90918,170.016968
S226,5.11243,4.744501,-0.303459,-11.151273,7.778848,185.935037
S227,5.093131,4.712349,-0.212349,-9.985144,7.428488,154.380225
S228,5.21923,4.863261,-0.214496,-11.129878,7.855108,169.403313
S229,5.261399,5.079806,0.360356,-12.681964,7.020936,141.308673
S230,5.12892,4.739438,-0.073105,-8.176923,7.698898,169.133544
S231,4.354203,4.106322,0.438682,-6.552155,5.907763,7.126084
S232,4.955939,4.636279,0.009086,-9.799076,7.153027,9.230687
S233,4.494872,4.224528,0.256575,-8.503436,7.307301,5.873198
S234,4.8427,4.429841,-0.174349,-8.96804,7.248978,7.491698
S235,5.169841,4.860171,0.048901,-10.288254,7.360349,8.956521
S236,5.111903,4.625557,-0.48844,-10.250201,7.579726,8.959141
S237,4.740054,4.316151,-0.205924,-9.442007,7.430105,6.94207
S238,5.248354,4.850764,-0.430712,-13.321958,7.614182,8.095716
S239,4.919652,4.5227,-0.338433,-12.413241,6.674242,6.459105
S240,5.168064,4.836798,-0.586156,-13.422878,6.828821,7.34089
S241,5.282661,4.968211,-0.22898,-15.266087,7.122542,7.220462
S242,5.747765,5.662578,0.265621,-59.249797,6.894574,7.947628
S243,5.782042,5.720679,0.397467,-84.504337,7.42353,7.734063
S244,5.365566,5.334979,0.781734,-44.461393,6.456124,7.004538
S245,4.867065,4.790257,0.586717,-27.292335,6.388995,5.248143
S246,4.394485,4.331302,0.725458,-19.65435,5.603327,3.887153
S247,3.96628,3.872308,0.667009,-13.869022,5.67776,2.575088
S248,3.741058,3.66825,0.775768,-10.166632,4.854103,2.186958
S249,3.620417,3.505318,0.661872,-9.185072,4.838269,2.071896
S250,3.300776,3.230685,0.794067,-9.275488,4.236621,1.515574
S251,3.394627,3.258163,0.565004,-10.798168,4.726082,1.574022
S252,3.276932,3.083928,0.332182,-15.07483,5.458894,1.205571
S253,3.388845,3.122441,-0.009058,-17.825287,5.520283,1.225032
S254,3.605519,3.248629,-0.402641,-17.809536,5.890171,1.384135
S255,3.806262,3.403186,-0.612986,-17.250747,5.919382,1.547977
S256,4.184125,3.757693,-0.656275,-14.678008,6.783044,2.15646
S257,4.474784,4.081132,-0.691509,-16.406276,6.473626,2.389438
S258,4.689148,4.349197,-0.614792,-18.551541,6.582933,2.581116
S259,4.896723,4.633905,-0.53562,-25.197276,7.379631,2.749471
S260,4.992606,4.835861,-0.10498,-33.343204,6.595065,2.718473
S261,5.062938,4.936245,-0.018895,-41.791435,7.246581,2.83325
S262,5.177156,5.107644,0.368991,-53.860899,6.688707,2.982757
S263,5.279566,5.166159,0.051896,-47.148806,7.381775,3.740849
S264,5.167526,5.055033,0.15982,-41.326133,6.922839,3.804884
S265,5.224487,5.030903,-0.278582,-35.136257,7.364999,4.756503
S266,5.257561,5.026399,-0.276046,-26.617946,7.885896,9.429808
S267,5.308636,5.029005,-0.442852,-24.746332,7.28322,10.052762
S268,5.317666,4.955922,-0.601664,-20.202955,7.998442,10.925383
S269,5.538327,5.129996,-0.711254,-18.598109,8.044939,12.140048
S270,5.668928,5.277452,-0.673306,-19.270027,7.460182,13.922824
S271,5.872111,5.553798,-0.61702,-25.132693,8.339248,14.654783
S272,6.027234,5.849478,-0.192073,-39.372081,8.498206,14.158173
S273,6.078256,5.969351,0.19711,-44.633338,8.006017,14.935892
S274,5.825279,5.733117,0.424658,-33.941229,7.861724,13.192901
S275,5.486023,5.396183,0.528385,-26.53065,7.105633,12.541363
S276,5.237747,5.183749,0.756457,-21.006165,7.097787,10.674713
S277,4.956962,4.858138,0.619881,-16.404483,6.278639,10.475758
S278,4.359851,4.242807,0.749665,-7.278061,5.832668,6.09633
S279,4.034321,3.840007,0.62567,-1.207541,5.381781,5.147109
S280,3.592446,3.444494,0.624226,-0.208429,5.23491,3.411994
S281,3.070592,2.909489,0.631269,0.042454,4.373401,2.774808
S282,2.665299,2.370737,0.787362,0.361344,3.990005,0.931261
S283,2.802548,2.525417,0.548937,0.213261,4.768465,0.76369
S284,2.683188,2.373738,0.504788,0.212668,4.597456,0.618386
S285,2.589438,2.215029,0.554436,0.254394,5.051942,0.57212
S286,2.791747,2.354532,0.264675,0.061882,4.835823,0.526785
S287,2.305187,1.981982,0.482065,0.204435,4.587277,0.375985
S288,2.760015,2.248315,-0.178111,-0.341883,4.548121,0.389047
S289,2.698267,2.178696,-0.233648,-0.391866,5.268701,0.359849
S290,3.653762,3.002756,-0.630418,-0.470681,8.174943,2.452847
S291,4.042699,3.010991,-0.118144,-0.59167,8.580918,3.647083
S292,5.123485,4.210955,-0.336561,-1.507534,9.112364,6.442036
S293,5.511637,4.341939,-0.21698,-1.574249,9.341612,8.586549
S294,6.305132,5.451842,-0.120353,-3.06615,8.825979,9.641764
S295,6.401408,5.387592,-0.409802,-2.929742,9.932406,11.499449
S296,6.709544,5.979265,-0.190743,-3.707192,9.071043,11.79232
S297,6.956356,6.398924,0.025987,-5.697654,9.592694,12.224849
S298,7.28623,7.031484,0.280519,-12.41053,9.791264,12.53734
S299,7.094311,6.805408,0.251842,-10.738271,9.207599,12.06024
S300,6.640571,6.371874,0.480147,-9.316958,8.945143,11.3762
S301,6.703064,6.330235,0.469674,-0.777025,9.76906,10.576185
S302,6.737508,6.060066,0.636421,0.031286,12.52219,7.34018
S303,6.764238,5.815383,0.501251,0.102032,13.698666,5.782887
S304,6.514996,5.398752,0.812127,0.182687,13.877971,3.821795
S305,6.633096,5.389387,0.533639,0.081979,13.015284,2.244134
S306,6.586639,4.836628,0.598911,0.013283,15.28336,1.730179
S307,6.877451,5.168585,0.208072,-0.19015,14.167994,0.808446
S308,7.065184,5.194119,-0.037882,-0.30122,16.086084,0.611831
S309,6.946966,5.455918,-0.076689,-0.228848,14.133148,0.74763
S310,7.20202,5.784844,-0.469408,-0.309086,15.248835,0.826899
S311,7.21469,6.080274,-0.475686,-0.174146,13.91646,1.509762
S312,7.635792,6.823287,-0.500578,-0.242174,15.108477,1.476948
S313,6.503387,6.050337,0.327172,0.030554,10.167656,2.21755
S314,6.603266,5.718406,0.272447,-0.511591,9.6972,2.592349
S315,7.045151,6.33784,0.454366,-1.013336,9.714432,2.775584
S316,8.03752,7.537377,-0.175049,-2.299975,11.980925,3.385421
S317,7.181,6.668271,0.694295,-1.468266,9.689169,3.648234
S318,8.005801,7.688808,-0.114713,-2.532367,10.295177,4.732135
S319,7.188232,6.9863,0.082948,-1.849814,8.778963,4.217045
S320,6.392992,6.047225,-0.308004,-1.292608,8.376877,3.602787
S321,5.825613,5.411465,-0.001896,-0.915646,8.542976,3.188095
S322,5.753244,5.357365,-0.448116,-0.877342,9.768171,3.030988
S323,5.067458,4.594008,-0.13643,-0.539544,9.836749,2.223231
S324,5.805381,5.357144,-0.154986,-7.147787,8.515449,2.94067
S325,4.471617,3.957013,0.392338,-2.972684,7.364231,2.103995
S326,4.74306,4.294685,0.42062,-2.421275,7.476265,2.201704
S327,4.201783,3.713762,0.523813,-0.909584,7.098209,1.956231
S328,3.534821,3.039135,0.596878,-0.238328,6.468559,1.588933
S329,2.707808,2.415,0.683917,0.192849,5.799723,0.965895
S330,2.229773,2.025014,0.7039,0.342276,3.798039,0.348356
S331,2.582226,2.349618,0.685981,0.243521,4.521167,0.348102
S332,3.301853,2.763007,0.626958,0.044344,6.949588,0.350273
S333,3.525293,3.04178,0.319367,-0.071809,7.377627,0.411227
S334,5.291175,4.043357,0.447633,-0.249224,13.878988,0.414133
S335,5.543168,4.363463,0.311667,-0.596764,14.354888,0.395356
S336,5.546454,4.247865,-0.073745,-0.676042,14.010202,0.388731
S337,5.014009,3.866116,0.426486,-0.238814,13.202464,0.366941
S338,5.488275,4.125074,-0.611206,-0.273736,14.218646,0.485569
S339,5.309532,4.317753,0.279285,0.047946,11.601308,0.932041
S340,6.020393,4.91387,-0.09625,-0.040541,13.037618,1.525675
S341,6.278146,5.450935,0.094263,-0.037713,12.59997,1.784391
S342,6.786279,6.082099,-0.103715,-0.152877,12.797868,2.090311
S343,6.916847,6.438114,0.427287,-0.22997,11.279027,2.306029
S344,7.442292,6.828865,0.064175,-0.48907,10.809713,2.558281
S345,7.159664,6.579259,0.375836,-0.017802,11.327312,2.194467
S346,7.346536,6.583504,0.098758,-0.550325,10.670772,2.560229
S347,7.57787,6.778717,-0.227721,-0.75417,10.388377,2.598954
S348,7.180566,6.423766,-0.455691,-0.571948,10.008082,2.45363
S349,6.447209,5.533934,-0.208871,-0.277954,11.257919,2.128233
S350,5.803354,5.001345,0.373535,-0.05582,10.359454,1.846458
S351,5.435486,4.539528,0.132871,0.001626,12.391665,1.25606
S352,5.502394,4.512951,-0.058819,-0.030552,12.786005,1.120049
S353,5.647881,4.50751,-0.293996,-0.109889,13.915198,1.007292
S354,5.905132,4.769489,-0.539467,-0.197917,13.698404,1.106643
S355,6.203046,5.044849,-0.792894,-0.270708,14.897015,1.319448
S356,5.647109,4.813202,0.012914,-0.129208,11.282872,1.541568
S357,6.104131,5.232424,0.36574,-2.295948,10.524012,2.158378
S358,6.622092,6.228274,0.64036,-5.072412,8.844785,2.377337
S359,6.950926,6.710642,0.566895,-9.811761,9.612473,2.611202
S360,7.012571,6.853068,0.507527,-16.14871,9.350561,2.808321
S361,7.023894,6.935765,0.268831,-37.443608,8.633299,2.944579
S362,6.717711,6.689274,0.555277,-81.367922,7.615102,2.875432
S363,6.403279,6.357419,-0.184906,-152.40508,7.563932,2.880368
S364,5.496052,5.455728,0.175549,-161.582563,6.603037,2.273046
S365,5.066449,5.011041,0.391755,-53.057138,6.378883,2.059959
S366,4.431063,4.266283,0.364345,-11.665513,6.451091,1.705939
S367,3.810211,3.48082,0.467218,-3.725457,5.50401,1.32755
S368,3.462221,3.065883,0.54776,-1.845929,5.702728,1.160066
S369,3.193601,2.717998,0.661031,-1.004165,4.952995,1.031271
S370,2.887077,2.24191,0.699055,-0.424631,5.08907,0.878806
S371,2.93829,2.443678,0.499989,-0.517367,4.729958,0.880169
S372,3.011153,2.471336,0.317908,-0.578297,5.857781,0.92689
S373,2.656201,2.061963,0.394158,-0.229731,5.184344,0.733078
S374,2.689357,2.077516,0.065445,-0.354409,5.321107,0.699293
S375,2.324151,1.569856,0.078886,-0.218356,6.068916,0.509143
S376,2.103301,1.624593,0.039287,-0.228865,4.389981,0.429142
S377,2.152678,1.473063,-0.082399,-0.313872,5.918407,0.426924
S378,2.003968,1.310314,0.245659,-0.085021,4.555273,0.387427
S379,2.319951,1.490726,0.114372,-0.491419,6.149082,0.458003
S380,2.586745,1.899395,0.265745,-0.799415,5.489367,0.526283
S381,3.156952,2.427671,0.046325,-1.342521,6.544242,0.689645
S382,3.559614,2.905318,-0.007764,-2.04085,6.145335,0.800252
S383,3.336491,2.486358,-0.431688,-1.63617,6.379211,0.744232
S384,3.025415,2.128727,-0.58368,-1.303895,6.195474,0.620109
S385,3.645927,2.837608,-0.473815,-1.850089,6.491599,0.894437
S386,4.380761,3.454288,-0.521663,-2.160601,8.063806,1.874032
S387,4.982274,4.189536,-0.328746,-2.717111,8.104016,2.744387
S388,5.530529,4.797074,-0.282896,-3.413285,8.350943,3.867362
S389,6.063444,5.534521,-0.105511,-5.639576,8.49982,4.441747
S390,6.526797,6.234267,0.027941,-11.225436,8.497787,4.83086
S391,6.741546,6.563978,-0.092917,-22.441301,9.197353,5.160164
S392,6.595484,6.463833,-0.14605,-33.48119,8.732603,4.985522
S393,6.262643,6.13209,-0.167018,-35.163265,8.385894,4.86081
S394,5.889839,5.614114,0.404508,-6.30273,7.509508,4.476157
S395,5.431464,5.117879,0.399395,-3.711345,7.118869,4.168405
S396,5.021354,4.705048,0.430636,-2.932627,6.246502,3.710483
S397,4.43422,4.058895,0.775241,-1.846883,6.11296,3.332394
S398,3.96972,3.751102,0.453926,-1.454156,5.290255,2.440239
S399,3.488057,3.264078,0.506115,-1.097626,5.10809,1.855746
S400,3.267104,3.035546,0.231291,-1.124154,4.469289,1.193058
S401,3.055881,2.866002,0.188588,-1.08931,3.988764,0.981099
S402,2.786854,2.396233,0.193932,-0.543758,4.539659,0.736765
S403,3.057623,2.744664,-0.138891,-0.884483,5.404901,0.828714
S404,3.358185,2.915397,-0.401435,-1.195668,5.391777,0.938113
S405,2.919189,2.403182,-0.020922,-0.579994,5.057965,0.7625
S406,3.467504,2.798244,-0.065366,-1.429667,6.320363,0.938158
