Segment,F1,F2,F3,F4,F5,F6
S1,6.271809,6.2369757,5.457229,7.2679152,7.1145873,7.3069267
S2,5.4478345,5.504066,4.8523097,6.7601967,6.604806,7.099825
S3,4.6403475,4.826191,4.284567,6.274709,6.1186275,6.851201
S4,4.797142,5.0706224,4.511214,6.3687396,6.1237617,6.6134706
S5,6.460447,6.543738,5.710461,7.351914,7.1444263,7.1016088
S6,7.4719834,7.375974,6.3760176,7.939483,7.77308,7.537699
S7,8.324591,8.085787,6.9391484,8.433608,8.273046,7.8841896
S8,7.9814606,7.7371297,6.6645565,8.235193,7.988483,7.7870283
S9,7.37788,7.171262,6.2452974,7.9020286,7.5549197,7.5294275
S10,6.060594,5.9364247,5.2767243,7.147253,6.8629527,7.277734
S11,4.735636,4.715122,4.2916775,6.390433,6.1662993,7.0157123
S12,4.086911,4.026716,3.8135,5.9313745,5.8009343,6.816444
S13,4.91438,4.928783,4.4505973,6.534264,6.202208,6.8565426
S14,5.967247,5.853839,5.1956744,7.1394486,6.911633,7.2475286
S15,5.2933407,5.22519,4.659875,6.7135754,6.5662594,7.211891
S16,4.2299542,4.228857,3.9088502,5.96459,5.9514384,6.9018483
S17,3.3878338,3.4544826,3.4241412,5.288242,5.3879266,6.3793864
S18,2.727953,2.8798842,3.062792,4.767656,4.95474,5.9412436
S19,2.2105246,2.4819722,2.8143854,4.387224,4.5901775,5.51345
S20,2.652178,3.1237261,3.1894484,4.7822824,4.8919563,5.583557
S21,3.4141345,4.0819793,3.7584512,5.4305706,5.3817973,5.8270226
S22,3.9408138,4.602299,4.1068544,5.7992954,5.7180834,6.0725093
S23,5.401508,5.87241,5.1153064,6.64345,6.6285286,6.61338
S24,5.571333,5.9858766,5.1788816,6.723066,6.723365,6.791628
S25,5.2922163,5.7598276,4.9962773,6.5554347,6.4612,6.618877
S26,5.008949,5.5117803,4.8283634,6.4109244,6.17038,6.369015
S27,4.9844174,5.4100003,4.772191,6.4334116,6.1247454,6.3865433
S28,5.01705,5.3369865,4.733811,6.4875393,6.157182,6.496909
S29,4.869811,5.110804,4.567467,6.428034,6.097472,6.5679994
S30,5.3691015,5.4860816,4.8752418,6.737372,6.456456,6.837997
S31,5.5559683,5.5958414,4.949818,6.845287,6.636722,7.0552316
S32,5.8537335,5.866858,5.156961,7.0093126,6.838821,7.1800776
S33,6.5861707,6.5463157,5.698471,7.426864,7.2739887,7.3720255
S34,6.034499,6.047864,5.2825804,7.0910025,6.923658,7.247755
S35,6.064065,6.1179028,5.3529763,7.11186,6.8746796,7.1140876
S36,7.323256,7.231073,6.262646,7.8621526,7.619713,7.458555
S37,9.1321535,8.789099,7.5326214,8.931724,8.691915,8.033902
S38,9.385691,8.903307,7.6380897,9.089095,8.791521,8.217821
S39,8.234614,7.808069,6.7855916,8.419999,8.137652,7.9934673
S40,6.417048,6.156203,5.4834523,7.36717,7.1436152,7.5560007
S41,4.981742,4.848613,4.4275312,6.551215,6.3627343,7.2216034
S42,3.994857,3.8400404,3.7331233,5.872236,5.755739,6.8291516
S43,3.3335326,3.0803883,3.2741306,5.323509,5.336201,6.51497
S44,7.722763,7.4207067,6.4406753,8.189061,8.076223,7.853985
S45,13.733425,12.832424,10.823798,11.662893,11.661556,9.523877
S46,11.078822,10.253928,8.732185,10.055156,9.902935,9.035701
S47,8.565561,8.036006,6.9474473,8.553305,8.538904,8.474184
S48,7.8551807,7.456187,6.467086,8.160769,8.090709,8.1819105
S49,8.865891,8.377006,7.223674,8.80662,8.511514,8.206568
S50,7.928987,7.5079465,6.588407,8.286774,7.914955,7.8420796
S51,6.8861227,6.4775186,5.810649,7.719933,7.3295293,7.60086
S52,6.305366,5.829245,5.3080125,7.421385,7.0675473,7.6098714
S53,6.0982027,5.5420747,5.0644217,7.318535,7.0414567,7.7519298
S54,6.4691415,5.8241105,5.2288885,7.520154,7.3860507,8.107122
S55,8.325556,7.527589,6.463043,8.550639,8.6624565,8.961885
S56,9.662757,9.027636,7.642683,9.249457,9.328745,8.923765
S57,10.45499,9.966426,8.507004,9.692984,9.387533,8.326453
S58,11.669582,10.853497,9.234324,10.435441,10.095258,8.926211
S59,12.982219,11.982488,10.136509,11.246954,10.900657,9.607151
S60,13.462828,12.472952,10.553076,11.560776,11.202556,9.901282
S61,12.265999,11.375013,9.757241,10.881628,10.472215,9.494197
S62,11.108395,10.21728,8.883386,10.257092,9.868904,9.327052
S63,9.823869,8.899606,7.859372,9.5498295,9.231852,9.167234
S64,7.7779365,6.8477845,6.2318883,8.357017,8.192919,8.760533
S65,7.5867467,6.5503707,5.9542174,8.266379,8.160758,8.831818
S66,7.4291105,6.391106,5.7671547,8.154103,8.135071,8.864071
S67,6.887324,6.032934,5.433355,7.7985616,7.773547,8.558799
S68,5.301298,4.780025,4.386596,6.815828,6.818408,7.9379025
S69,4.244844,3.7730954,3.7289627,5.9466386,6.1335497,7.367634
S70,3.4015665,3.040902,3.2400033,5.2528563,5.53468,6.7970014
S71,2.9751081,2.8849907,3.1021404,4.9440312,5.1978173,6.299711
S72,5.3033133,5.62608,4.922338,6.6535897,6.64354,6.8182387
S73,8.560797,8.597468,7.324934,8.526081,8.551709,7.6591663
S74,9.994093,9.815774,8.324774,9.343667,9.275667,8.071904
S75,10.208551,9.868644,8.3861885,9.480661,9.266102,8.214196
S76,10.64478,10.082121,8.550096,9.770607,9.496129,8.586024
S77,11.570575,10.824359,9.181842,10.349376,10.012687,8.895188
S78,10.985261,10.216534,8.765352,10.038314,9.68655,8.777756
S79,9.978279,9.194179,8.0203085,9.503767,9.123147,8.565405
S80,9.698184,8.824225,7.760841,9.419358,9.024221,8.712082
S81,11.532434,10.453522,9.0628395,10.595805,10.094286,9.485293
S82,11.304418,10.16815,8.836756,10.464793,10.118497,9.765041
S83,9.8510685,8.74187,7.657469,9.559511,9.520599,9.698655
S84,11.403295,10.228916,8.793695,10.479288,10.336608,10.025806
S85,14.636545,13.367501,11.28824,12.415208,11.976062,10.701869
S86,15.040683,13.836167,11.701106,12.631447,12.174661,10.804915
S87,13.067201,12.004857,10.277701,11.431985,11.151164,10.370874
S88,11.207829,10.232485,8.88267,10.336177,10.14707,9.874579
S89,10.001502,9.052404,7.968445,9.655408,9.413942,9.403176
S90,8.5373955,7.582121,6.8059344,8.811663,8.623956,9.016619
S91,8.032619,7.0068197,6.3173037,8.528565,8.4070635,8.972048
S92,6.270222,5.391069,4.9856462,7.4604206,7.4768806,8.51734
S93,5.375847,4.7166038,4.419554,6.930585,6.8271194,7.964357
S94,6.650449,5.8918715,5.2999477,7.671484,7.5191917,8.25637
S95,9.586074,8.59472,7.377489,9.327672,9.395344,9.269278
S96,11.519432,10.525063,8.880289,10.364526,10.4956045,9.663266
S97,13.353363,12.36708,10.390458,11.391002,11.311942,9.715979
S98,13.035458,12.110243,10.230218,11.215177,10.880494,9.448212
S99,10.364626,9.608035,8.29937,9.639373,9.448667,8.814029
S100,8.738332,8.070478,7.099414,8.745722,8.554394,8.447723
S101,7.2586026,6.667944,6.0050855,7.943123,7.702627,8.0488205
S102,5.9599667,5.4191327,5.012912,7.23606,6.991255,7.766246
S103,5.5625196,4.9979014,4.6784554,7.047624,6.738226,7.63616
S104,6.5845304,5.815261,5.284736,7.660483,7.4179935,8.1383
S105,6.4568777,5.724101,5.1389875,7.5305657,7.4818883,8.319679
S106,6.116656,5.579383,4.9377136,7.256836,7.3193817,8.201904
S107,5.649911,5.4177957,4.7549763,6.9133444,6.9437346,7.7427206
S108,4.8266416,4.9211373,4.3252773,6.376766,6.3617697,7.1763287
S109,4.4960265,4.837631,4.2794027,6.1628327,6.009716,6.623519
S110,4.226241,4.663627,4.1743684,6.012191,5.7485857,6.2976522
S111,4.637576,4.986637,4.43824,6.2680326,6.035563,6.4960275
S112,5.100848,5.3735223,4.76197,6.545828,6.3198466,6.649118
S113,4.8312826,5.082645,4.53036,6.3893924,6.168433,6.647417
S114,5.233047,5.413248,4.780386,6.6231446,6.464374,6.877307
S115,5.2081175,5.3977933,4.747398,6.5958295,6.4717274,6.926519
S116,5.130045,5.383966,4.7446012,6.543383,6.365074,6.765793
S117,5.237551,5.4848156,4.8296604,6.6093006,6.410847,6.7681093
S118,4.978753,5.241436,4.6408677,6.4634743,6.2336535,6.6788535
S119,4.043476,4.3783484,3.9592178,5.9197397,5.654448,6.4005904
S120,3.9320436,4.2244654,3.8730335,5.825619,5.6241565,6.3882556
S121,4.640674,4.927148,4.392144,6.2855124,6.0995398,6.6165032
S122,5.1763234,5.407959,4.771023,6.5873046,6.44946,6.815656
S123,5.898929,6.0717487,5.3045516,6.9983215,6.869896,7.003362
S124,6.522281,6.625802,5.757949,7.3567696,7.2008233,7.152823
S125,7.5846553,7.532391,6.4833183,7.9792666,7.8313985,7.5365267
S126,7.7665806,7.6491613,6.587556,8.090096,7.870405,7.592828
S127,7.59039,7.4206543,6.4123945,8.005246,7.715859,7.589244
S128,8.244247,7.9408855,6.845975,8.416351,8.085759,7.816465
S129,9.238011,8.749084,7.5263286,9.028066,8.645665,8.1283
S130,8.927345,8.373764,7.2675724,8.863697,8.488082,8.143734
S131,7.015894,6.592075,5.862119,7.7470775,7.516251,7.8262463
S132,6.059021,5.695553,5.129412,7.209693,7.0278864,7.670759
S133,6.068786,5.6978683,5.1114526,7.2365437,7.016764,7.650707
S134,6.91405,6.446533,5.684671,7.7388687,7.493803,7.8892775
S135,7.283565,6.806029,5.958683,7.9360347,7.704122,7.973574
S136,8.265686,7.7319827,6.6918597,8.487143,8.305938,8.23885
S137,9.267582,8.666325,7.449211,9.053798,8.853262,8.441994
S138,8.928351,8.342651,7.1887007,8.840365,8.616422,8.373931
S139,8.052986,7.578759,6.573155,8.312863,8.164975,8.195962
S140,8.190275,7.726466,6.6890564,8.407377,8.201534,8.157199
S141,7.99849,7.5718307,6.5997763,8.314592,7.998307,7.934641
S142,8.586834,8.025371,6.9992456,8.69688,8.294092,8.069196
S143,7.7974105,7.222104,6.371933,8.241113,7.9572363,8.0766325
S144,6.9145083,6.389164,5.6948533,7.7274346,7.536877,7.9840603
S145,5.374182,5.0403066,4.592143,6.8150687,6.6999893,7.5987067
S146,4.374227,4.1148777,3.9135067,6.134354,6.080197,7.173834
S147,5.4165063,5.1992154,4.632499,6.8394623,6.669491,7.4496584
S148,5.767047,5.6448693,4.980494,7.0031185,6.874362,7.3989344
S149,6.06408,6.016505,5.287531,7.1471734,6.9907947,7.28817
S150,6.180464,6.1471486,5.387953,7.196834,7.0390935,7.289016
S151,6.1486325,6.1253276,5.348901,7.1633883,7.029644,7.3297873
S152,6.106496,6.132933,5.3489294,7.1289835,6.964711,7.2399163
S153,6.5763397,6.580212,5.70452,7.403299,7.224483,7.332624
S154,6.8364873,6.8314357,5.9353237,7.564423,7.2884026,7.257363
S155,6.186263,6.1784434,5.4298615,7.2042494,6.8566046,7.0970745
S156,5.608365,5.598301,4.9860044,6.8911977,6.519351,6.9723196
S157,5.2920227,5.2429686,4.696054,6.723442,6.412919,7.0412164
S158,6.298883,6.1174326,5.3693533,7.3153224,7.1144357,7.489774
S159,7.6471314,7.3808494,6.3935733,8.088305,7.904251,7.780888
S160,9.031189,8.610296,7.388307,8.885901,8.704529,8.180669
S161,9.396619,8.883864,7.6162033,9.09499,8.8559,8.316211
S162,8.869784,8.361006,7.209707,8.788876,8.525136,8.226254
S163,7.7722945,7.3630877,6.4270687,8.150671,7.9346747,7.979602
S164,6.831205,6.5071154,5.7441716,7.618251,7.4160666,7.7492704
S165,7.4965067,7.0718746,6.1986036,8.047386,7.7456965,7.873419
S166,9.236487,8.558888,7.40884,9.100565,8.696304,8.327684
S167,9.729493,8.910752,7.715549,9.38928,9.035758,8.611107
S168,9.838918,8.937397,7.7462535,9.446547,9.188519,8.826399
S169,9.075432,8.231719,7.1678896,8.97908,8.864128,8.805757
S170,9.858232,8.943909,7.7126813,9.441098,9.310607,9.029534
S171,10.15672,9.250834,7.957833,9.607374,9.446572,9.039193
S172,9.416327,8.634011,7.4926987,9.169148,8.962299,8.698457
S173,10.066816,9.176816,7.9503055,9.581932,9.284916,8.8229065
S174,10.777778,9.786232,8.461176,10.033116,9.685192,9.087987
S175,11.312288,10.261646,8.848882,10.374401,10.040742,9.424547
S176,11.381403,10.305248,8.87158,10.4162445,10.186185,9.681703
S177,11.604692,10.529295,9.040425,10.54618,10.33737,9.80347
S178,11.015865,10.003725,8.645864,10.190274,9.958908,9.522977
S179,10.283993,9.300432,8.10122,9.764449,9.548828,9.307356
S180,8.444943,7.5244823,6.7025824,8.667864,8.551364,8.79147
S181,7.7804394,6.890901,6.162743,8.294434,8.226188,8.693337
S182,7.6707096,6.8334913,6.097894,8.240662,8.099358,8.534945
S183,8.092405,7.233328,6.401247,8.488364,8.294703,8.567987
S184,7.4214525,6.669013,5.915709,8.061766,7.973045,8.459744
S185,7.205906,6.5674787,5.7985315,7.9087358,7.8191714,8.303692
S186,6.914436,6.4119034,5.644117,7.709082,7.6042953,8.089204
S187,6.8498755,6.4526467,5.653022,7.649518,7.5044327,7.919017
S188,6.652534,6.3614516,5.56282,7.5143995,7.343371,7.741155
S189,5.3352137,5.283095,4.7066026,6.724227,6.516647,7.1868033
S190,5.4109,5.380724,4.7803955,6.783776,6.4998,7.0901585
S191,5.518543,5.502828,4.8955574,6.849169,6.554187,7.036974
S192,6.22647,6.111959,5.372507,7.25985,7.0510926,7.3578434
S193,7.4137692,7.189233,6.2304373,7.939941,7.7856016,7.726068
S194,7.952742,7.6752925,6.6178637,8.238851,8.073456,7.877156
S195,7.8942657,7.6165743,6.583521,8.202186,7.9541593,7.7911453
S196,7.229516,6.981605,6.0757236,7.817734,7.563363,7.671199
S197,6.2910256,6.145688,5.416294,7.2756743,7.0302563,7.404667
S198,5.8190184,5.7138557,5.071442,7.019576,6.7526317,7.2613935
S199,5.5708504,5.4816484,4.892196,6.894853,6.580304,7.1429415
S200,4.583688,4.5928288,4.1949725,6.325137,5.999792,6.829509
S201,4.6926146,4.6474357,4.2102933,6.3995166,6.1298876,6.99143
S202,4.993084,4.9685373,4.4552207,6.5550175,6.3700852,7.077523
S203,5.830526,5.7810507,5.083859,7.0140576,6.926986,7.332852
S204,5.4048924,5.4720497,4.81036,6.7266827,6.653465,7.165282
S205,4.2143617,4.481813,4.022725,5.9891524,5.8649926,6.6499243
S206,3.6093023,3.9023945,3.6677465,5.52327,5.4417253,6.26239
S207,3.3738644,3.721402,3.5569012,5.361168,5.28146,6.0595984
S208,4.4430823,4.885006,4.34211,6.14305,5.981173,6.4011683
S209,5.6973696,5.9950323,5.239685,6.8699822,6.7453804,6.7938175
S210,5.334828,5.6310296,4.952119,6.649001,6.483065,6.718836
S211,4.311874,4.680567,4.192422,6.0551796,5.830152,6.4323545
S212,4.254889,4.601336,4.1098495,6.03075,5.8553076,6.527167
S213,4.9012427,5.209916,4.5906315,6.4071183,6.267368,6.703707
S214,5.077706,5.392617,4.7359066,6.5033417,6.3539224,6.7165093
S215,4.9561057,5.3070073,4.6925354,6.436497,6.2017965,6.5404053
S216,5.285019,5.558149,4.9161057,6.645916,6.3809977,6.6352406
S217,5.771613,5.9120727,5.2033625,6.9430647,6.711244,6.9140544
S218,6.290564,6.3172517,5.5211334,7.2488327,7.0594683,7.1954255
S219,5.70648,5.7578387,5.0468,6.898917,6.7305408,7.1521316
S220,4.768908,4.961884,4.404567,6.3487706,6.1224303,6.787874
S221,4.2331295,4.530579,4.081299,6.0481734,5.7454944,6.4613094
S222,4.058458,4.3515,3.9537883,5.9558516,5.6659307,6.4145913
S223,4.2014685,4.456632,4.022901,6.043487,5.8361635,6.576683
S224,4.3991804,4.6635885,4.1738367,6.148551,5.9986186,6.659132
S225,3.9488137,4.2511024,3.8943422,5.8156276,5.6987777,6.426467
S226,4.1620207,4.5436583,4.0691967,5.9819546,5.8511367,6.478305
S227,3.9750948,4.360119,3.9444818,5.81865,5.745762,6.4160924
S228,4.2679725,4.720158,4.183338,6.014199,5.9293575,6.4697995
S229,4.318082,4.8118286,4.255602,6.032457,5.923684,6.401675
S230,4.1033435,4.6479764,4.140542,5.907667,5.727949,6.2170496
S231,4.3473682,4.842797,4.3077188,6.0617814,5.8660326,6.2894964
S232,3.573296,4.0015626,3.7209625,5.5271463,5.3886914,6.092904
S233,3.3228345,3.6917138,3.5399194,5.317335,5.2546973,6.013901
S234,3.3480856,3.738757,3.5671868,5.33642,5.3039722,6.027038
S235,5.3695235,5.763451,5.0406184,6.6703076,6.581233,6.6526575
S236,6.1801953,6.466502,5.6198244,7.130913,7.0166354,6.8765492
S237,5.6091948,5.881672,5.1426263,6.7924776,6.642261,6.82256
S238,6.22469,6.411071,5.5742044,7.1643944,6.982188,6.994925
S239,5.81743,5.987313,5.2307477,6.935467,6.718736,6.954318
S240,4.589255,4.859547,4.3304296,6.232681,5.940914,6.586752
S241,3.6989748,3.946828,3.6990197,5.643394,5.392431,6.2653437
S242,3.1809716,3.3347313,3.3477683,5.226827,5.097028,6.0474997
S243,3.822384,4.137308,3.8328803,5.785958,5.558457,6.256293
S244,4.0314603,4.313881,3.9483097,5.91558,5.7641845,6.448957
S245,4.0365477,4.300525,3.9365246,5.8710275,5.824175,6.5320363
S246,4.0463414,4.346503,3.9443145,5.8273883,5.887548,6.5997553
S247,3.9713204,4.477391,3.9981523,5.806007,5.7679753,6.3496246
S248,5.644314,6.06551,5.266721,6.7953997,6.73251,6.6958337
S249,7.2214036,7.4451175,6.372742,7.7109056,7.658145,7.2113976
S250,8.376488,8.441462,7.206907,8.3938675,8.220261,7.4553785
S251,8.013934,7.9762397,6.8657875,8.210811,7.8879695,7.40672
S252,6.3656363,6.36103,5.595375,7.279201,6.931698,7.1147265
S253,4.98784,5.04833,4.556914,6.5079107,6.21633,6.878216
S254,5.891359,5.7637954,5.106675,7.0870066,6.774836,7.260061
S255,7.0380406,6.777053,5.9367504,7.7723327,7.4427547,7.5444283
S256,7.204444,6.874889,6.0289736,7.8685894,7.5480585,7.651852
S257,7.4043584,7.0010457,6.1305094,7.984274,7.6949334,7.8099885
S258,6.7663174,6.4098954,5.645376,7.594995,7.3791194,7.744694
S259,6.1490903,5.883661,5.185018,7.2132134,7.1034594,7.6873326
S260,5.7332926,5.609364,4.9406214,6.9559216,6.8090153,7.427942
S261,7.357477,7.162675,6.1899366,7.9053717,7.7212625,7.693366
S262,8.596955,8.302756,7.1464114,8.6291065,8.360521,7.866476
S263,7.8482337,7.5305867,6.5575376,8.204049,7.8233447,7.6750135
S264,7.549617,7.1622076,6.270541,8.045495,7.7400904,7.8007917
S265,8.554019,7.9745984,6.8918347,8.648681,8.423708,8.321606
S266,8.404663,7.8635497,6.806374,8.549362,8.337102,8.265029
S267,8.584907,8.039024,6.9636154,8.662282,8.386935,8.220484
S268,9.95868,9.211923,7.91445,9.490239,9.158899,8.6229315
S269,10.3467045,9.50581,8.188053,9.723664,9.381824,8.758638
S270,9.285497,8.496816,7.410545,9.0997,8.852914,8.60768
S271,8.983783,8.163927,7.1406665,8.9391165,8.751519,8.672256
S272,10.336434,9.3135605,8.027607,9.749801,9.58866,9.205087
S273,11.036304,10.015927,8.60115,10.166513,9.913607,9.297629
S274,10.335575,9.380394,8.140131,9.748363,9.471582,9.00671
S275,8.284823,7.474877,6.6297674,8.535841,8.406558,8.589067
S276,6.8608203,6.1980796,5.583112,7.71455,7.6448154,8.270481
S277,7.0815105,6.420216,5.7384634,7.869114,7.69831,8.203152
S278,7.3597836,6.6802444,5.9154773,8.028849,7.864901,8.291219
S279,11.094357,10.040401,8.575682,10.214267,10.050404,9.334956
S280,12.68171,11.5904045,9.835584,11.120843,10.860251,9.672701
S281,11.446313,10.44834,8.960074,10.358928,10.110053,9.329827
S282,10.089632,9.157096,7.9335227,9.545385,9.454557,9.126043
S283,7.7515855,7.0855265,6.2609773,8.167145,8.187698,8.5425825
S284,5.8957286,5.515171,5.0004888,7.1053777,7.0239058,7.7937036
S285,4.606125,4.409154,4.1253743,6.390959,6.155492,7.176993
S286,4.7475257,4.4984207,4.19762,6.519488,6.1634126,7.1111507
S287,6.7044425,6.168353,5.5083275,7.6814265,7.367251,7.8070145
S288,9.0448,8.267335,7.165759,9.00425,8.905344,8.6682415
S289,10.416993,9.533072,8.144004,9.741439,9.740251,9.145314
S290,10.1661,9.347995,7.91967,9.532716,9.576654,9.203557
S291,8.661233,8.22713,7.045579,8.608308,8.5300255,8.352479
S292,7.018074,6.8608975,5.9997973,7.661828,7.425318,7.55027
S293,7.5425477,7.258829,6.340254,8.033997,7.6734314,7.6528625
S294,7.008692,6.699827,5.941592,7.7620792,7.3473268,7.497753
S295,6.7036633,6.300537,5.644278,7.6216135,7.239288,7.5785995
S296,7.5436344,6.9277062,6.140382,8.142553,7.796668,8.009989
S297,8.336689,7.56075,6.616301,8.596665,8.37265,8.481734
S298,8.437501,7.675343,6.663106,8.613164,8.529209,8.666809
S299,7.48365,6.954326,6.056346,8.004944,7.9704556,8.306581
S300,9.05186,8.46179,7.248328,8.923648,8.747257,8.48659
S301,10.620303,9.919667,8.45353,9.837102,9.568638,8.725088
S302,10.889432,10.0890255,8.63038,10.00527,9.64132,8.783678
S303,11.200486,10.272202,8.815424,10.207681,9.874925,9.019261
S304,8.750741,8.016588,7.0365043,8.763061,8.619001,8.574906
S305,6.76043,6.2332125,5.6281796,7.628366,7.458789,7.9641967
S306,6.9729753,6.3542037,5.7024236,7.8031373,7.5944624,8.087177
S307,7.202394,6.5296283,5.8133054,7.9482045,7.7632856,8.231661
S308,7.4251013,6.7589936,5.97978,8.070326,7.864475,8.236013
S309,7.9748483,7.280451,6.387128,8.379849,8.141365,8.316023
S310,8.660397,7.9057064,6.873929,8.760794,8.53743,8.51433
S311,7.8666043,7.237669,6.2975087,8.244524,8.20416,8.468856
S312,7.931901,7.4167137,6.4130573,8.259948,8.167982,8.310569
S313,8.772396,8.25427,7.0854573,8.750978,8.520377,8.298726
S314,8.782982,8.292203,7.1417885,8.755255,8.47077,8.193582
S315,8.22767,7.7895474,6.8001547,8.448848,8.060859,7.8755674
S316,7.8663335,7.3500676,6.465354,8.264129,7.948322,7.984324
S317,7.6898327,7.107846,6.255384,8.1744375,7.963586,8.170956
S318,7.1183534,6.604305,5.8471255,7.8397975,7.642912,8.011763
S319,6.668955,6.2197886,5.525509,7.575773,7.387133,7.8757167
S320,6.5703506,6.1581187,5.454193,7.514554,7.3260317,7.827743
S321,5.8951874,5.613663,5.0056386,7.1038275,6.9153447,7.561699
S322,6.3144126,6.0310354,5.3309374,7.3512316,7.088676,7.544811
S323,6.188536,5.937447,5.2318416,7.2570024,7.0629888,7.573538
S324,6.759983,6.5217376,5.6833415,7.5692773,7.4213586,7.6926455
S325,8.024118,7.7325463,6.666475,8.292307,8.124475,7.8984284
S326,8.594899,8.234101,7.081725,8.618825,8.397732,8.018265
S327,9.725488,9.192056,7.860089,9.288355,9.038671,8.387968
S328,9.71733,9.110925,7.810443,9.291948,8.994803,8.451992
S329,9.8846,9.207567,7.919424,9.407805,9.099218,8.54051
S330,9.67856,8.951277,7.7437205,9.307626,9.020889,8.581294
S331,7.553653,7.0162396,6.225569,8.069997,7.864605,8.078821
S332,6.6100307,6.1281147,5.5205345,7.5560946,7.3266335,7.8310914
S333,8.188979,7.447946,6.548571,8.525886,8.254677,8.378845
S334,9.756938,8.8068075,7.6331654,9.448469,9.144009,8.838653
S335,10.335215,9.297418,8.018725,9.759118,9.549203,9.141124
S336,9.863483,8.908841,7.7010098,9.446392,9.328245,9.069736
S337,10.360577,9.390545,8.080782,9.730551,9.577053,9.138809
S338,10.135036,9.216124,7.9396625,9.584812,9.458518,9.0791855
S339,9.48824,8.680553,7.5301113,9.206564,9.033281,8.778066
S340,9.219815,8.428799,7.338328,9.067839,8.867311,8.686352
S341,9.617348,8.751078,7.618831,9.331299,9.044155,8.7320175
S342,8.739091,7.9213405,6.9982004,8.831732,8.525228,8.465075
S343,8.681029,7.7611575,6.8527126,8.814859,8.6200485,8.716385
S344,8.923542,7.9464674,6.95392,8.948259,8.86895,8.99034
S345,9.104382,8.182641,7.1203947,9.033989,8.930319,8.937187
S346,8.839154,8.027195,6.9952807,8.859176,8.708966,8.702923
S347,7.103234,6.54926,5.8183393,7.8193474,7.6932154,8.12352
S348,6.771066,6.2787657,5.5709953,7.6314793,7.50632,8.024096
S349,7.4026933,6.885254,6.042917,8.010961,7.7856655,8.051005
S350,9.26339,8.556937,7.3804274,9.102799,8.84197,8.520757
S351,9.059241,8.362732,7.2276363,8.9584055,8.723646,8.513153
S352,9.267409,8.5542965,7.382165,9.0714,8.85419,8.590836
S353,10.96553,10.047569,8.591343,10.082055,9.769344,9.001795
S354,8.564786,7.9066725,6.904675,8.637937,8.498244,8.469902
S355,7.548762,7.0064354,6.1776752,8.059708,7.92547,8.189676
S356,10.349855,9.454115,8.119706,9.756335,9.45334,8.910528
S357,13.567091,12.478661,10.565925,11.69104,11.233751,9.797273
S358,15.043594,13.894098,11.740695,12.600125,11.9804325,10.313899
S359,15.879294,14.689953,12.400443,13.122871,12.569642,10.927732
S360,15.281626,14.1370945,11.986343,12.777605,12.345494,11.034512
S361,14.4589405,13.358996,11.385393,12.31276,11.944417,10.948937
S362,13.5252,12.469727,10.723249,11.799949,11.365468,10.6044445
S363,12.40228,11.338811,9.839449,11.1771345,10.796522,10.428582
S364,11.328905,10.249221,8.981726,10.574386,10.230489,10.190235
S365,11.293014,10.151059,8.945534,10.601776,10.092801,9.989599
S366,11.087013,9.824682,8.650217,10.488811,10.165296,10.315105
S367,9.623731,8.367809,7.4120893,9.552086,9.578815,10.219309
S368,7.4338465,6.314186,5.72,8.152934,8.3744955,9.396977
S369,5.617543,4.8529406,4.4997663,7.0344934,7.1877527,8.448791
S370,6.4330716,5.7517376,5.149124,7.5056815,7.488363,8.331273
S371,7.7841325,7.0995235,6.195937,8.272859,8.102757,8.386759
S372,7.719681,7.1548657,6.23061,8.185493,8.019165,8.222951
S373,8.080831,7.5633097,6.551051,8.366861,8.1932745,8.207991
S374,7.856818,7.409467,6.4234686,8.215458,8.010358,8.063936
S375,8.143267,7.6901836,6.6416073,8.37705,8.161501,8.115984
S376,8.921218,8.391604,7.194513,8.8324175,8.606625,8.340964
S377,8.523824,8.072553,6.967206,8.594681,8.327317,8.120145
S378,7.756363,7.381889,6.460321,8.163766,7.827123,7.79417
S379,7.0169683,6.6462483,5.9048862,7.7629356,7.416283,7.633743
S380,6.268606,5.8843327,5.2934027,7.346959,7.082849,7.6199656
S381,7.562754,6.96186,6.1041884,8.124107,7.923928,8.208227
S382,8.225741,7.5934663,6.5927787,8.493329,8.283613,8.3481455
S383,7.403567,6.9351034,6.0798435,7.9820476,7.7613416,7.9815164
S384,7.12174,6.702695,5.8816304,7.8093038,7.6128635,7.913245
S385,7.37455,6.9528313,6.0733128,7.956957,7.727088,7.9253054
S386,6.7998233,6.467556,5.6732883,7.60456,7.42194,7.7849646
S387,6.235411,6.015136,5.299743,7.2668357,7.0781894,7.562539
S388,5.576879,5.4851975,4.8845572,6.8843617,6.6187415,7.20347
S389,4.807477,4.810944,4.3487678,6.4412227,6.1536274,6.9306817
S390,4.7266583,4.7321086,4.2764072,6.4041386,6.11308,6.9082036
S391,5.0774746,5.0700803,4.5363927,6.5979505,6.391448,7.0473824
S392,5.2590156,5.267443,4.6583853,6.6757493,6.577379,7.1936555
S393,5.436581,5.540358,4.8748326,6.7509766,6.6354823,7.0661626
S394,6.414678,6.4845147,5.6462765,7.310141,7.1669135,7.194102
S395,6.8895454,6.884943,5.9611883,7.5787444,7.437523,7.3842616
S396,6.433442,6.4566827,5.6119967,7.308721,7.116766,7.265074
S397,7.4738045,7.3938627,6.3841166,7.933014,7.6900387,7.4785
