Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,2.763078,1.849903,-0.384141,-0.23045,5.860341,4398771315235542.5
S2,2.929127,2.058699,-0.516685,-0.295116,5.860341,4398771315235542.5
S3,3.167558,2.503428,-0.480516,-0.427399,5.860341,4398771315235542.5
S4,3.210496,2.694969,-0.471524,-0.501486,5.860341,4398771315235542.5
S5,3.209353,2.671031,-0.531052,-0.479346,5.860341,4398771315235542.5
S6,3.024671,2.399913,-0.70822,-2.040536,5.860341,4398771315235542.5
S7,1.872233,1.53906,0.390074,-1.451229,2.968486,0.48404
S8,2.602044,1.938449,0.583475,-0.745008,5.286132,3967770130407010.0
S9,3.192391,2.346418,0.56576,-0.773011,5.416299,8033244112122951.0
S10,3.758342,2.969246,0.684865,-1.042762,5.416299,1.1806116517635308e+16
S11,4.387378,3.879892,0.810971,-2.336707,5.5453,1.5968418561232074e+16
S12,4.499715,4.124231,0.922874,-3.127215,5.5453,1.5968418561232074e+16
S13,4.593329,4.402441,0.654151,-9.169394,5.5453,1.5968418561232074e+16
S14,4.106335,3.786158,0.79413,-4.152632,5.5453,1.2000648430825066e+16
S15,3.630018,3.331478,0.565424,-3.953771,5.5453,7935174449109125.0
S16,3.107098,2.832342,0.314021,-4.333734,5.5453,4162302043596768.0
S17,2.132343,1.962727,0.339387,-4.965304,2.775959,0.680947
S18,2.217741,2.025395,0.254195,-4.987879,3.151966,0.723458
S19,2.703452,2.37541,0.323943,-2.926451,4.464572,1.840467
S20,2.692486,2.356078,-0.027114,-0.988428,4.464572,1.817482
S21,2.576565,2.222587,-0.176734,-0.963303,4.464572,1.694001
S22,2.471295,2.045506,-0.237812,-0.818099,4.464572,1.621513
S23,2.955402,2.654855,0.040325,-1.173187,4.464572,2.273595
S24,2.750291,2.41399,0.265666,-0.887224,4.464572,2.150563
S25,2.274974,2.064329,-0.338276,-0.23031,3.983709,0.965958
S26,2.886559,2.584653,0.131268,-0.603378,4.594385,3448545464247782.0
S27,2.991757,2.719556,0.050271,-0.725696,4.594385,3448545464247782.0
S28,2.971684,2.636391,0.165596,-0.585678,4.594385,3448545464247782.0
S29,3.27235,2.840614,0.047416,-0.658127,5.209046,7358455285927556.0
S30,3.720699,3.332987,0.195323,-0.812451,5.209046,1.0857008549527082e+16
S31,3.797983,3.440971,0.721505,-3.222886,5.209046,1.0857008549527082e+16
S32,3.745355,3.396475,0.491257,-3.778546,5.209046,7408463085279301.0
S33,4.153137,3.806569,0.419446,-4.555585,5.209046,1.1279499131917992e+16
S34,4.404755,4.33238,0.401807,-24.907535,5.209046,1.1279499131917992e+16
S35,3.857401,3.466725,0.458395,-3.510471,5.157256,7369589310238219.0
S36,3.373628,2.83287,-0.166116,-2.603916,5.157256,3871036046638692.0
S37,3.155327,2.452428,-0.387619,-1.198351,5.157256,3871036046638692.0
S38,2.624809,1.826597,-0.159471,-0.443357,5.157256,3871036046638691.5
S39,1.61682,1.129004,-0.051172,-0.267617,3.625048,0.493744
S40,0.741844,0.669966,0.286473,0.075933,0.971699,0.142052
S41,1.232314,1.069173,-0.07315,-0.199945,2.410356,0.197381
S42,1.354919,1.196953,0.27444,-0.584109,2.410356,0.198854
S43,1.321597,1.078673,0.114239,-0.493901,2.410356,0.177745
S44,1.383165,1.175249,-0.152009,-0.338643,2.410356,0.203669
S45,1.337247,1.086844,-0.410407,-1.019332,2.410356,0.175647
S46,1.29852,1.005362,-0.585186,-0.622602,2.410356,0.162721
S47,0.99745,0.818522,-0.367408,-0.146133,1.624565,0.155763
S48,0.777337,0.638328,0.347758,-0.051383,1.289317,0.131561
S49,4.317303,2.368363,0.699615,-0.025551,10.402385,0.235964
S50,6.220376,4.014639,0.732948,-0.335472,11.029535,0.301434
S51,7.013439,5.265715,0.617484,-0.71161,11.029535,0.386368
S52,7.092386,5.637553,0.44239,-1.110153,11.029535,0.424611
S53,7.16256,5.884074,0.307722,-2.010893,11.029535,0.430057
S54,7.194863,6.085911,0.413927,-1.34743,11.029535,0.487442
S55,5.810053,4.417494,-0.245352,-0.718361,11.029535,0.393628
S56,3.864956,3.071896,0.318822,-0.430375,7.947719,0.327603
S57,2.578579,2.358135,0.873994,0.411312,3.665154,0.273528
S58,2.359479,2.019247,0.843825,0.508167,3.665154,0.233932
S59,2.11691,1.736515,0.920011,0.618828,3.665154,0.205174
S60,2.037614,1.619022,0.885242,0.540553,3.665154,0.160765
S61,2.863419,2.377611,0.432674,-0.116714,4.943415,0.225792
S62,3.270669,2.69678,0.23494,-0.548833,4.943415,0.258164
S63,2.987166,2.364242,-0.657928,-1.172847,4.943415,0.263669
S64,4.030205,3.376345,-0.946644,-0.82364,6.652241,0.734076
S65,4.60078,4.121085,-0.965294,-0.761119,6.652241,1.077917
S66,4.871378,4.622772,-0.971612,-0.856954,6.652241,1.216032
S67,5.281563,4.970583,-0.778771,-2.218127,7.03028,1.484366
S68,5.938988,5.532986,-0.522258,-24.574559,8.245383,1.918861
S69,6.720992,6.569004,-0.209779,-102.909428,8.245383,2.441485
S70,6.338971,6.090931,-0.467478,-91.432701,8.245383,2.12988
S71,6.161896,5.863048,-0.730325,-102.160943,8.245383,1.959237
S72,5.984553,5.500727,-0.693935,-6.855574,8.245383,1.830337
S73,6.427468,5.84201,-0.60005,-0.683374,9.077978,1.57911
S74,5.490847,4.635167,-0.567109,-0.363044,9.077978,1.095119
S75,4.639088,3.858829,-0.510196,-0.143576,9.077978,0.625177
S76,4.424639,3.499761,-0.46727,-0.146276,9.077978,0.504111
S77,4.261863,3.30233,-0.129618,-0.072083,9.077978,0.443749
S78,4.203227,3.114715,0.037766,-0.020156,9.077978,0.431081
S79,2.212756,2.002576,0.421689,-4.836635,3.228012,0.408012
S80,4.072354,3.240885,-0.547221,-5.66324,8.434176,1.464333
S81,3.969636,3.09246,-0.667143,-5.670057,8.434176,1.447514
S82,4.060334,3.262631,-0.697306,-2.207454,8.434176,1.448336
S83,3.875032,2.819589,-0.707659,-2.126859,8.434176,1.320563
S84,3.971846,3.070629,-0.456848,-1.94427,8.434176,1.418946
S85,3.850347,2.717606,-0.567351,-1.795883,8.434176,1.357318
S86,1.747889,1.431515,0.24932,-0.042701,2.650424,0.299014
S87,2.00985,1.603929,0.533178,-0.005127,3.371946,0.430474
S88,2.357853,1.831864,-0.366317,-2.678386,4.018034,0.611198
S89,2.359462,1.842354,0.424884,-0.737143,4.018034,0.609234
S90,2.248169,1.703801,0.387048,-0.66502,4.018034,0.527253
S91,2.969532,2.449438,0.182603,-1.586802,4.760832,0.774514
S92,3.517708,3.108933,0.582013,-1.536722,4.760832,1.459787
S93,3.271432,2.739727,0.382853,-1.343561,4.760832,1.286477
S94,2.858289,2.232494,0.146568,-0.77519,4.760832,1.082185
S95,2.924041,2.427065,-0.014088,-1.872345,4.760832,1.142013
S96,3.035052,2.59712,-0.35528,-3.077407,4.760832,1.207079
S97,2.339029,1.882283,-0.272917,-1.154666,4.674603,0.965417
S98,1.370113,1.192754,-0.448277,-1.103972,2.455214,0.272073
S99,1.431894,1.256909,-0.01444,-0.665048,2.455214,0.304802
S100,2.929103,2.150219,-0.345752,-1.304979,6.334497,4754673003084239.0
S101,3.146641,2.426705,-0.310451,-1.488471,6.334497,4754673003084239.0
S102,3.43913,2.716424,-0.423,-1.668385,6.334497,4754673003084240.0
S103,3.512508,2.93978,-0.674414,-2.522823,6.334497,4754673003084240.0
S104,3.54599,3.067952,-0.778533,-5.067903,6.334497,4754673003084240.0
S105,3.498846,2.914281,-0.786516,-3.155674,6.334497,4754673003084240.0
S106,2.360215,1.910704,-0.577697,-2.251331,4.193528,0.822206
S107,2.00782,1.551303,-0.577322,-1.814746,4.193528,0.637143
S108,1.634209,1.363955,0.789291,-1.37273,3.06944,0.456103
S109,1.459246,1.093464,0.361094,-0.75139,3.06944,0.382808
S110,1.367469,0.940328,0.358153,-0.497308,3.06944,0.34415
S111,1.537603,1.142084,0.192198,-0.899398,3.06944,0.40863
S112,1.770308,1.451873,0.019786,-1.735781,3.06944,0.50486
S113,1.803458,1.500824,0.111954,-0.410026,3.06944,0.499595
S114,1.300521,1.028281,-0.232448,-0.255957,2.17177,0.250778
S115,1.305563,1.053192,-0.037257,-0.256385,2.17177,0.257137
S116,1.302493,1.04187,-0.010467,-0.152331,2.17177,0.253301
S117,1.530671,1.184936,0.166571,-0.025487,2.688536,0.223891
S118,1.401226,1.083288,0.63836,-0.527305,2.688536,0.156285
S119,1.327265,0.989467,0.604697,-0.425781,2.688536,0.145843
S120,2.376956,1.756397,0.832358,-0.531605,4.83576,0.21637
S121,2.659903,2.190606,-0.183742,-0.333245,4.83576,0.373013
S122,3.4522,3.037287,-0.133878,-0.033698,5.399796,4053086824948388.5
S123,3.31535,2.804669,-0.171564,-0.053699,5.399796,4053086824948388.0
S124,3.54397,3.118051,0.342256,0.060233,5.399796,4053086824948388.0
S125,4.13454,3.865087,0.634051,0.063277,5.399796,4053086824948388.0
S126,3.66233,3.248718,0.898324,0.132319,5.399796,4053086824948388.0
S127,3.795534,3.395497,0.187215,0.033456,5.399796,4053086824948388.0
S128,3.090093,2.514824,-0.215291,-0.195744,5.276234,0.398223
S129,3.104275,2.546475,-0.299093,-0.443494,5.276234,0.385556
S130,2.932637,2.368295,-0.381602,-0.469798,5.276234,0.374064
S131,1.99469,1.544003,-0.318982,-0.706008,3.824399,0.304472
S132,1.946458,1.419705,-0.131095,-0.605948,3.824399,0.287084
S133,1.187578,0.881731,0.340841,-1.176267,2.373096,0.118226
S134,1.778507,1.403266,-0.136919,-3.540314,3.244975,0.173627
S135,1.673234,1.178663,-0.800847,-3.892701,3.244975,0.139402
S136,1.929872,1.340416,-0.038294,-0.136163,3.343611,0.265895
S137,2.616109,2.008503,-0.191447,-0.215815,4.339003,0.52619
S138,3.009878,2.554345,-0.505607,-0.581271,4.339003,0.65937
S139,3.257662,2.9733,-0.470868,-0.934895,4.339003,0.794222
S140,3.169906,2.877988,0.098918,-4.200386,4.339003,0.839045
S141,3.291632,3.218233,0.685715,-11.281308,4.339003,0.900607
S142,3.295981,3.222501,0.659887,-11.830897,4.339003,0.843448
S143,2.911428,2.853062,0.575904,-17.239738,3.666813,0.643633
S144,3.112317,3.000327,0.820401,-5.066713,4.550401,0.922842
S145,3.776742,3.497621,0.880337,-2.466523,6.094048,4574192115472104.0
S146,3.628755,3.177936,0.417681,-1.371639,6.094048,4574192115472104.0
S147,3.564773,3.049454,0.163471,-0.723455,6.094048,4574192115472104.0
S148,3.376024,2.799331,0.450651,-0.08396,6.094048,4574192115472104.0
S149,3.824036,3.259692,0.570374,0.097454,6.094048,4574192115472104.0
S150,4.070781,3.449891,0.533454,0.077909,6.094048,4574192115472105.0
S151,3.285325,2.696155,0.483442,0.103893,5.691592,1.57106
S152,3.297914,2.742504,0.448818,0.097408,5.691592,1.577509
S153,3.279288,2.693884,0.422401,0.094804,5.691592,1.573259
S154,3.312751,2.74818,0.325403,0.039867,5.691592,1.582062
S155,2.690769,2.135076,-0.054526,-0.122131,5.691592,1.545337
S156,1.991893,1.781797,-0.368544,-0.478623,3.571919,0.342843
S157,2.431661,2.146623,0.110083,-0.122243,3.760592,0.672205
S158,3.13643,2.801293,0.416985,-0.200919,4.961106,2.025336
S159,3.908508,3.585688,0.5635,-0.662038,5.820342,4368748140530502.0
S160,4.660182,4.318715,0.685414,-3.502549,6.592414,9317013581859378.0
S161,5.439236,5.280367,0.404659,-13.88152,6.97583,1.4553070834409174e+16
S162,5.590083,5.47984,-0.522191,-63.914309,6.97583,1.4553070834409174e+16
S163,5.757555,5.695435,-0.213928,-87.991791,6.97583,1.4553070834409174e+16
S164,5.404933,5.034896,-0.506436,-8.698257,6.97583,1.455307083440917e+16
S165,4.892252,4.31212,-0.614253,-4.472743,6.97583,1.0184322693878674e+16
S166,4.124288,3.443942,-0.106648,-2.537148,6.97583,5236057252549797.0
S167,3.175881,2.726057,0.380936,-2.364253,5.054161,1.464874
S168,2.593106,2.198395,-0.284488,-1.1445,5.054161,0.973173
S169,3.097067,2.445764,-0.783802,-0.533329,6.538371,0.365149
S170,3.071978,2.322629,-0.676759,-0.53116,6.538371,0.339674
S171,3.887878,3.079127,-0.492398,-0.262907,6.538371,4520618877092967.0
S172,4.451281,3.763013,-0.711674,-0.322273,6.538371,4520618877092968.0
S173,4.413318,3.694715,-0.858971,-0.272846,6.538371,4520618877092968.0
S174,4.763586,4.206742,-0.559832,-0.405449,6.538371,4520618877092970.0
S175,4.580414,4.066881,-0.366502,-4.758516,6.022674,8798442089481904.0
S176,4.906002,4.742482,0.321707,-13.202242,6.022674,8798442089481904.0
S177,4.945017,4.773897,0.128974,-0.403809,6.211168,4277823212388938.0
S178,4.841552,4.676428,0.340957,-0.285357,6.211168,7957149799431709.0
S179,5.086095,5.039122,0.402723,-0.345053,6.211168,7957149799431711.0
S180,5.129002,5.084667,0.385199,-0.367843,6.211168,7957149799431712.0
S181,4.752233,4.665609,0.420668,-0.250079,6.211168,3679326587042778.0
S182,4.498684,4.301394,0.906249,-0.120107,6.211168,3679326587042777.5
S183,3.953791,3.817572,0.609666,-10.615452,4.948222,3679326587042777.5
S184,3.982675,3.84063,0.414788,-13.566869,5.040194,4.886443
S185,3.549768,3.155025,0.160283,-4.298806,5.040194,3.048306
S186,2.919123,2.344696,-0.001211,-2.387434,5.040194,0.988983
S187,2.655215,2.005128,-0.231847,-2.306488,5.040194,0.748638
S188,2.510645,1.685832,-0.370387,-2.127346,5.040194,0.645504
S189,2.127474,1.22285,-0.610226,-2.882327,5.040194,0.414522
S190,1.025106,0.738397,0.641419,-0.165803,2.133478,0.201123
S191,1.126399,0.882815,0.572993,-0.592603,2.133478,0.238522
S192,1.149474,0.963094,0.614273,-1.089915,2.133478,0.253295
S193,1.802523,1.370078,-0.077151,-2.219578,3.58935,0.444353
S194,2.686317,2.148718,-0.256827,-2.623751,4.883443,1.114942
S195,2.727131,2.271602,0.410338,-1.716249,4.883443,1.131109
S196,2.738679,2.2861,-0.116119,-0.695104,4.883443,1.057839
S197,2.704326,2.177719,-0.230494,-0.61206,4.883443,1.026993
S198,2.727486,2.256059,-0.314818,-0.521564,4.883443,1.036813
S199,2.30813,1.734776,-0.265016,-0.356739,4.883443,0.819768
S200,1.877526,1.522576,-0.354222,-2.007198,3.610244,0.211478
S201,6.06287,3.674248,-0.549194,-0.659854,14.177681,0.299383
S202,6.200862,3.951478,-0.379651,-0.762805,14.177681,0.318177
S203,6.257669,4.216834,-0.469812,-1.0103,14.177681,0.344653
S204,6.256049,4.206779,-0.576085,-0.815407,14.177681,0.351568
S205,6.322742,4.511596,-0.652162,-0.59067,14.177681,0.447601
S206,6.151051,3.981378,-0.818045,-0.409359,14.177681,0.390633
S207,2.172448,1.871812,-0.161983,-0.080464,3.883842,0.316601
S208,1.738582,1.593553,0.605992,0.012648,2.290552,0.294025
S209,3.636596,2.590038,0.255679,-1.28222,8.108532,13.765481
S210,4.662015,3.629101,0.229037,-1.656294,8.108532,17.738208
S211,4.573646,3.345903,0.063206,-1.244446,8.108532,17.643845
S212,4.578034,3.38306,0.076868,-1.274995,8.108532,17.651741
S213,4.563883,3.336175,0.067552,-1.267585,8.108532,17.643357
S214,4.474457,3.005681,-0.842756,-1.646597,8.108532,17.603637
S215,3.037858,1.820522,-0.484067,-0.559394,7.21201,4.110463
S216,1.16728,0.98431,0.711334,0.28465,2.194736,0.144891
S217,1.934051,1.522969,0.736449,0.190016,3.82332,0.407232
S218,1.921906,1.477558,0.644626,0.211118,3.82332,0.395001
S219,1.930395,1.490359,0.500592,0.211849,3.82332,0.380123
S220,1.987283,1.648354,0.440383,0.179746,3.82332,0.39948
S221,2.601585,2.187406,0.27475,0.032186,4.231886,0.442554
S222,2.942363,2.491451,0.178322,-0.076506,4.231886,0.465248
S223,2.52873,2.024168,-0.208524,-1.022147,4.231886,0.216999
S224,2.796308,2.452332,0.298783,0.008956,4.231886,0.390336
S225,3.262007,2.952978,0.550573,0.112454,4.319651,0.706745
S226,4.018216,3.734281,0.026448,-0.077441,5.867108,1.292703
S227,4.073656,3.78543,-0.07058,-0.648614,5.867108,1.588805
S228,4.065495,3.777115,0.106096,-7.044032,5.867108,1.714016
S229,4.05604,3.733985,0.567488,-1.804625,5.867108,1.699789
S230,3.931706,3.518176,0.523013,-1.596581,5.867108,1.575203
S231,3.881483,3.471224,0.544946,-1.455398,5.867108,1.606257
S232,3.937444,3.507828,0.798619,-1.029766,6.08673,4568699447712132.0
S233,4.081263,3.625689,0.783465,-1.074597,6.08673,4568699447712133.0
S234,4.635581,4.079035,0.766792,-1.244306,6.689191,9589606093639650.0
S235,4.942713,4.663831,0.008184,-8.4124,6.689191,9589606093639650.0
S236,5.401209,5.319042,0.291388,-34.625174,6.689191,9589606093639650.0
S237,5.250651,5.076898,0.68002,-8.68856,6.689191,9589606093639648.0
S238,4.673194,4.33451,0.184241,-6.100748,6.689191,5020906645927519.0
S239,4.189674,3.684271,-0.005723,-3.904317,6.689191,5020906645927518.0
S240,3.239117,2.826329,-0.205443,-5.127638,5.584812,1.022811
S241,3.342639,2.902088,0.479241,-2.141492,5.584812,3545967553932566.5
S242,3.188683,2.80723,0.888942,-0.934657,5.015664,7310724680419095.0
S243,3.700132,3.255498,0.970769,-1.367315,5.274684,1.126990210384049e+16
S244,3.749008,3.350448,0.936419,-1.775091,5.274684,1.126990210384049e+16
S245,3.819626,3.499584,0.578911,-0.744465,5.274684,1.126990210384049e+16
S246,3.861527,3.588567,0.609087,-0.939553,5.274684,1.126990210384049e+16
S247,3.52683,3.257051,0.313467,-0.876649,5.274684,7723934549907925.0
S248,2.950516,2.697942,0.10983,-0.778557,5.274684,3959177423421396.0
S249,2.040885,1.94579,-0.140925,-0.557249,2.735087,0.504477
S250,1.88683,1.76277,-0.013393,-0.380489,2.735087,0.44437
S251,1.651157,1.40762,-0.268993,-2.677313,2.735087,0.39895
S252,1.921407,1.591398,-0.401706,-2.904375,3.178103,0.493392
S253,1.587493,1.247437,-0.175465,-0.644757,3.178103,0.385415
S254,1.938147,1.502283,-0.183907,-0.137541,3.190084,0.356432
S255,2.441619,1.994703,-0.287259,-0.175516,3.716291,0.404114
S256,2.702624,2.318282,-0.635626,-0.49531,3.716291,0.41343
S257,3.208711,3.006563,-0.392408,-0.11156,4.238118,1.194578
S258,2.945445,2.579522,-0.125601,-0.150235,4.238118,1.018525
S259,2.936564,2.52938,-0.082967,-0.099574,4.238118,1.012741
S260,2.886177,2.481213,0.141537,-0.051475,4.238118,1.006329
S261,3.059179,2.606855,0.742533,0.123387,4.47014,1.002865
S262,2.839648,2.30374,0.572884,0.189158,4.47014,0.978951
S263,3.071631,2.450316,-0.225467,-0.202709,5.117574,0.564953
S264,3.081776,2.492378,-0.106749,-0.153796,5.117574,0.578479
S265,3.347525,2.967826,-0.05255,-0.114124,5.117574,0.789446
S266,3.23793,2.821206,0.160558,-0.186554,5.117574,0.828817
S267,2.682344,2.158984,0.102294,-2.384983,5.117574,0.774662
S268,2.636497,1.988616,0.366475,-0.865793,5.117574,0.742637
S269,2.251679,1.779098,0.688787,0.286243,3.860467,0.434265
S270,2.64131,2.216358,0.474441,0.153563,3.860467,0.46319
S271,2.590309,2.173237,0.192075,-0.322181,3.860467,0.296149
S272,2.975109,2.522219,-0.415923,-2.85583,4.115258,0.265843
S273,3.37019,3.091088,-0.321475,-9.121153,4.115258,0.314333
S274,3.376045,3.145,-0.143629,-8.611536,4.115258,0.321581
S275,3.454265,3.21083,-0.115899,-8.029854,4.255447,0.325399
S276,3.147057,2.655053,-0.495204,-4.525224,4.255447,0.266223
S277,2.915996,2.264022,-0.908356,-2.305357,4.255447,0.224366
S278,2.39501,1.67441,-0.582549,-1.662095,4.255447,0.169356
S279,2.060581,1.442653,-0.646607,-0.948448,4.255447,0.17613
S280,2.53411,1.963223,-0.585827,-0.776544,4.255447,0.218252
S281,4.860992,3.089995,-0.761688,-0.512218,11.01608,0.255115
S282,5.488536,4.104552,-0.814783,-0.815642,11.01608,0.32713
S283,5.553135,4.36137,-0.770014,-1.149108,11.01608,0.351312
S284,5.807896,4.966289,-0.565617,-1.526453,11.01608,0.405904
S285,5.745707,4.784235,-0.228754,-2.543874,11.01608,0.363494
S286,5.616325,4.529717,-0.490072,-1.114779,11.01608,0.371754
S287,3.370697,2.779496,-0.177895,-0.97288,6.244469,0.277543
S288,3.010543,2.575478,-0.583268,-1.677729,5.020361,0.339295
S289,3.190323,2.777133,-0.610591,-1.814887,5.020361,0.385258
S290,3.083615,2.692454,-0.361071,-2.867065,5.020361,0.426021
S291,3.273319,2.962104,-0.07177,-5.068694,5.020361,0.476487
S292,3.633929,3.343229,0.107325,-3.797617,5.020361,0.598168
S293,3.751599,3.647569,0.577739,-17.278565,5.020361,0.657675
S294,3.952924,3.789939,0.703411,-5.789644,5.874583,0.928464
S295,3.776382,3.524857,0.35685,-6.456763,5.874583,0.900392
S296,3.725834,3.471269,0.264697,-6.82198,5.874583,0.906682
S297,3.768207,3.520975,-0.37056,-11.431366,5.874583,0.959371
S298,4.160106,3.814551,-0.55238,-9.705043,6.172554,1.171252
S299,4.688053,4.38918,-0.153775,-16.799828,6.172554,1.312538
S300,4.27631,3.996138,-0.126187,-19.34381,6.172554,1.011137
S301,4.23592,3.874553,-0.279447,-14.394394,6.172554,0.983272
S302,4.112213,3.692102,-0.32868,-12.95943,6.172554,0.942475
S303,4.011989,3.552956,-0.329569,-12.615085,6.172554,0.903774
S304,3.442959,3.116928,-0.638853,-3.042656,5.788562,0.569841
S305,3.40955,3.096946,-0.686403,-0.63983,5.668671,0.439503
S306,3.284343,2.962305,-0.737305,-0.62501,5.668671,0.387335
S307,3.279039,2.94484,-0.602104,-0.707811,5.668671,0.381338
S308,3.566832,3.252212,0.007948,-0.115528,5.668671,0.76811
S309,3.643433,3.350702,0.705772,0.016696,5.668671,0.868544
S310,3.363542,2.914384,0.620005,0.087792,5.668671,0.842349
S311,2.712795,2.452907,-0.123573,-0.361634,4.127019,0.890141
S312,2.539677,2.230022,0.637764,-0.064545,4.127019,0.861723
S313,2.924531,2.685222,0.645484,-0.62251,4.127019,1.024209
S314,2.520523,2.323695,0.562858,-0.608703,3.67549,0.641537
S315,2.408764,2.225487,0.579468,-0.514371,3.67549,0.594478
S316,2.526397,2.417243,0.6852,-0.569512,3.67549,0.664436
S317,2.232341,1.95285,0.635444,-0.19888,3.67549,0.540628
S318,2.485331,2.225466,0.005251,-5.65571,3.67549,0.687467
S319,2.174324,1.978569,0.444753,-3.700265,3.006869,0.579641
S320,2.024524,1.692838,0.591336,-0.892676,3.006869,0.509723
S321,1.836308,1.506666,0.500337,-0.913509,3.006869,0.410989
S322,1.985624,1.623614,0.490258,0.075508,3.006869,0.353933
S323,2.016768,1.750076,0.697264,0.162905,3.006869,0.368958
S324,1.787638,1.574296,0.380656,0.045759,2.7907,0.265376
S325,1.847633,1.621013,0.783897,0.281526,2.7907,0.325038
S326,1.932991,1.815872,0.58861,0.230522,2.7907,0.35177
S327,1.892037,1.750423,0.553994,0.220652,2.7907,0.331507
S328,2.043556,1.847195,0.446732,0.040707,3.371335,0.517178
S329,3.355137,2.79785,-0.446546,-0.903208,6.576148,5.9789
S330,4.055453,3.457787,-0.612147,-1.513504,6.576148,6.525488
S331,4.249627,3.70784,-0.62102,-1.619297,6.576148,6.736681
S332,4.341324,3.90452,-0.51933,-3.858542,6.576148,6.87018
S333,4.69986,4.49149,-0.654488,-35.882777,6.576148,7.288271
S334,4.751966,4.560316,-0.596214,-36.705131,6.576148,7.316949
S335,4.168188,4.041675,-0.727036,-133.506791,5.911814,2.11177
S336,3.593534,3.533276,-0.611009,-96.66502,4.522203,1.672586
S337,3.923108,3.793712,-0.023141,-17.219924,5.537348,4156333422242777.5
S338,3.779059,3.404156,-0.132049,-4.776702,5.537348,4156333422242777.5
S339,3.488414,3.115236,-0.019983,-4.079247,5.537348,4156333422242776.5
S340,3.502776,3.128366,0.020919,-4.130677,5.537348,4156333422242776.5
S341,3.215845,2.660865,0.004642,-2.274691,5.537348,4156333422242776.0
S342,2.996339,2.19693,-0.264518,-1.458804,5.537348,4156333422242776.0
S343,2.043147,1.500155,-0.714193,-1.116623,3.863078,0.480532
S344,2.411956,1.982625,-0.450601,-1.227043,3.863078,0.722517
S345,2.200783,1.74952,-0.439489,-0.518322,3.863078,0.590594
S346,1.584218,1.265637,0.211195,0.001979,3.150191,0.383977
S347,1.581546,1.259022,0.176452,0.023465,3.150191,0.381207
S348,1.613308,1.376747,0.260452,0.049798,3.150191,0.400089
S349,1.519686,1.197989,0.31382,0.056085,3.150191,0.373759
S350,0.812686,0.701722,0.683734,0.143805,1.390051,0.128703
S351,1.117212,0.859436,0.312706,-0.179675,2.336334,0.147254
S352,1.580211,1.182939,0.407052,-0.950834,2.900795,0.162454
S353,1.70697,1.36271,0.203078,-1.64352,2.900795,0.183543
S354,2.849685,2.172712,-0.291255,-0.064894,5.644169,4236513057386524.0
S355,3.071553,2.59567,-0.30994,-0.055437,5.644169,4236513057386524.0
S356,3.074833,2.631615,-0.214457,-0.061254,5.644169,4236513057386524.0
S357,2.943044,2.381662,0.065601,-0.086007,5.644169,4236513057386524.0
S358,2.788809,2.19213,0.086056,-0.506529,5.644169,4236513057386524.0
S359,2.754548,2.129221,0.625355,-0.896883,5.644169,4236513057386524.0
S360,2.187378,1.834866,0.377863,0.050304,3.878038,0.382256
S361,2.132856,1.791094,-0.201261,-0.167011,3.878038,0.260724
S362,2.746302,2.435634,-0.424302,-0.475562,4.255507,0.321541
S363,2.737065,2.401085,-0.576217,-0.585601,4.255507,0.312384
S364,2.730251,2.390327,-0.610142,-1.345545,4.255507,0.283841
S365,2.991641,2.715845,-0.363856,-0.412587,4.255507,0.439406
S366,3.056975,2.764932,-0.776908,-0.16474,4.255507,0.723126
S367,3.057523,2.765586,-0.469011,-0.285059,4.255507,0.763335
S368,2.843527,2.597232,-0.124269,-1.317542,4.172563,0.829654
S369,2.832966,2.524126,0.374092,-0.568115,4.172563,0.814947
S370,3.34569,3.020809,0.743657,-1.92347,4.679149,1.078117
S371,3.406644,3.080412,0.784005,-2.115729,4.679149,1.078485
S372,2.951168,2.416292,0.135624,-1.860488,4.679149,0.736569
S373,3.273844,2.708312,-0.391739,-0.569452,4.679149,0.717089
S374,4.29681,3.425717,-0.421956,-0.258597,7.549813,0.671605
S375,4.565651,4.024895,-0.625192,-0.312944,7.549813,0.730678
S376,4.153097,3.338236,-0.360117,-0.516808,7.549813,0.443159
S377,3.893291,2.866819,-0.068122,-1.198097,7.549813,0.267313
S378,4.791481,3.976159,-0.639436,-0.338221,7.549813,5137019586681577.0
S379,5.196587,4.348566,-0.651018,-0.104416,7.549813,1.0053261848720054e+16
S380,5.031302,4.231128,-0.523333,-0.560452,6.845189,1.0053261848720056e+16
S381,5.048603,4.253755,-0.30656,-1.652585,6.845189,1.0053261848720056e+16
S382,5.160475,4.606692,-0.060299,-2.749015,6.845189,1.0053261848720056e+16
S383,5.439801,5.187981,0.686915,-6.759991,6.845189,1.0053261848720056e+16
S384,4.887972,4.639969,0.447625,-7.138156,6.845189,4916242262038479.0
S385,4.245752,4.010946,0.224589,-9.903068,6.845189,2.062282
S386,3.259394,3.130426,0.553889,-11.133606,4.290732,0.989929
S387,3.309468,3.1711,0.530178,-9.089376,4.290732,1.123949
S388,3.747751,3.570272,-0.397869,-20.870364,5.071855,1.808235
S389,3.711558,3.538088,-0.324855,-19.907409,5.071855,1.778871
S390,3.756634,3.583671,-0.157357,-19.192477,5.071855,1.765254
S391,4.379398,4.149889,-0.411443,-17.823572,6.172927,2.529211
S392,5.399945,5.20528,-0.424397,-23.120834,7.894411,5925544664174935.0
